        Treebank: ar |   smf |      dlx-ar |      dlx-pl | dlx-id-ud11 | dlx-he-ud11
      100 sentences: | 64.05 |             |             |             |            
      200 sentences: | 69.96 |             |             |             |            
      500 sentences: | 67.74 |             |             |             |            
     1000 sentences: | 70.56 |             |             |             |            
     2000 sentences: | 71.92 |             |             |             |            
     5000 sentences: | 83.77 |             |             |             |            
         ~ smf sents |       |             |             |             |            
                     |       |             |             |             |            
   Treebank: en-ud11 |   smf | dlx-en-ud11 | dlx-de-ud11 | dlx-sv-ud11 | dlx-fr-ud11
       10 sentences: | 36.75 |       39.03 |       28.48 |       27.10 |       29.84
       20 sentences: | 45.03 |       43.27 |       29.40 |       31.32 |       34.19
       50 sentences: | 59.16 |       51.49 |       33.97 |       38.64 |       38.69
      100 sentences: | 63.44 |       55.05 |       36.54 |       40.78 |       40.03
      200 sentences: | 67.32 |       58.12 |       40.35 |       43.11 |       42.85
      500 sentences: | 72.11 |       62.37 |       43.96 |       45.17 |       39.37
     1000 sentences: | 74.70 |       64.41 |       45.16 |       45.12 |       45.57
     2000 sentences: | 77.55 |       66.84 |       47.68 |       46.44 |       45.89
     5000 sentences: | 80.67 |       69.05 |       46.14 |       47.43 |       47.39
         ~ smf sents |       |         308 |          22 |          25 |          25
                     |       |             |             |             |            
        Treebank: es |   smf |             |             |             |            
       10 sentences: | 52.26 |             |             |             |            
       20 sentences: | 58.70 |             |             |             |            
       50 sentences: | 63.21 |             |             |             |            
      100 sentences: | 69.28 |             |             |             |            
      200 sentences: | 73.08 |             |             |             |            
      500 sentences: | 69.89 |             |             |             |            
     1000 sentences: | 79.50 |             |             |             |            
     2000 sentences: | 81.59 |             |             |             |            
     5000 sentences: | 84.86 |             |             |             |            
         ~ smf sents |       |             |             |             |            
                     |       |             |             |             |            
   Treebank: es-ud11 |   smf | dlx-es-ud11 | dlx-fr-ud11 | dlx-it-ud11 |      dlx-ca
       10 sentences: | 47.34 |       45.59 |       40.11 |       43.59 |       33.29
       20 sentences: | 52.48 |       48.00 |       44.84 |       45.79 |       35.99
       50 sentences: | 60.41 |       53.38 |       50.19 |       48.94 |       39.95
      100 sentences: | 64.94 |       58.74 |       52.33 |       51.16 |       43.04
      200 sentences: | 67.57 |       59.81 |       54.70 |       54.35 |       44.70
      500 sentences: | 64.29 |       57.74 |       53.90 |       56.10 |       41.63
     1000 sentences: | 66.55 |       58.76 |       58.51 |       56.90 |       41.70
     2000 sentences: | 67.99 |       60.75 |       59.62 |       58.28 |       41.95
     5000 sentences: | 70.86 |       64.91 |       61.27 |       59.69 |            
         ~ smf sents |       |         637 |          59 |          47 |     USELESS
                     |       |             |             |             |            
        Treebank: et |   smf |      dlx-et | dlx-da-ud11 | dlx-sv-ud11 | dlx-hu-ud11
       10 sentences: | 45.30 |       37.87 |       34.94 |       26.16 |       26.47
       20 sentences: | 54.08 |       48.44 |       43.42 |       32.85 |       28.25
       50 sentences: | 67.06 |       57.64 |       40.49 |       37.45 |       32.85
      100 sentences: | 72.81 |       64.02 |       44.67 |       37.56 |       29.92
      200 sentences: | 82.22 |       63.71 |       44.98 |       41.11 |       36.20
      500 sentences: | 83.37 |       68.94 |       47.08 |       44.46 |       39.96
     1000 sentences: | 72.81 |       59.63 |       46.34 |       47.39 |       39.02
     2000 sentences: | 73.85 |       60.26 |       47.81 |       46.97 |       38.39
     5000 sentences: | 73.85 |       60.26 |       50.21 |       46.55 |       38.39
         ~ smf sents |       |          34 |     USELESS |     USELESS |     USELESS
                     |       |             |             |             |            
   Treebank: eu-ud11 |   smf | dlx-eu-ud11 |      dlx-et | dlx-hr-ud11 | dlx-hu-ud11
       10 sentences: | 35.17 |       30.29 |       14.59 |       16.57 |       15.07
       20 sentences: | 39.99 |       33.98 |       20.64 |       22.07 |       16.69
       50 sentences: | 52.02 |       40.07 |       25.08 |       23.31 |       16.59
      100 sentences: | 56.27 |       40.62 |       24.45 |       24.78 |       17.86
      200 sentences: | 62.63 |       46.24 |       27.00 |       24.74 |       19.10
      500 sentences: | 67.76 |       48.84 |       26.97 |       24.96 |       22.40
     1000 sentences: | 70.70 |       51.11 |       22.07 |       25.54 |       24.54
     2000 sentences: | 73.67 |       53.82 |       22.75 |       26.65 |       25.60
     5000 sentences: | 75.68 |       55.05 |       22.75 |       26.98 |       25.60
         ~ smf sents |       |          86 |     USELESS |     USELESS |     USELESS
                     |       |             |             |             |            
        Treebank: fa |   smf |             |             |             |            
       10 sentences: | 35.68 |             |             |             |            
       20 sentences: | 43.88 |             |             |             |            
       50 sentences: | 52.60 |             |             |             |            
      100 sentences: | 57.82 |             |             |             |            
      200 sentences: | 61.10 |             |             |             |            
      500 sentences: | 66.00 |             |             |             |            
     1000 sentences: | 68.11 |             |             |             |            
     2000 sentences: | 69.54 |             |             |             |            
     5000 sentences: | 70.80 |             |             |             |            
         ~ smf sents |       |             |             |             |            
                     |       |             |             |             |            
   Treebank: fa-ud11 |   smf | dlx-fa-ud11 | dlx-he-ud11 | dlx-id-ud11 | dlx-hr-ud11
       10 sentences: | 31.87 |       25.74 |       16.67 |       19.27 |       17.33
       20 sentences: | 46.74 |       36.37 |       17.81 |       22.06 |       22.19
       50 sentences: | 54.75 |       43.99 |       25.40 |       25.42 |       23.36
      100 sentences: | 55.21 |       45.29 |       28.65 |       26.44 |       26.19
      200 sentences: | 57.14 |       45.26 |       30.63 |       28.02 |       26.39
      500 sentences: | 62.71 |       51.96 |       31.85 |       26.42 |       24.48
     1000 sentences: | 69.73 |       55.98 |       30.73 |       29.11 |       25.00
     2000 sentences: | 76.85 |       62.99 |       30.54 |             |       25.29
     5000 sentences: | 81.58 |       66.21 |       29.79 |       31.09 |       26.24
         ~ smf sents |       |         749 |     USELESS |     USELESS |     USELESS
                     |       |             |             |             |            
   Treebank: fi-ud11 |   smf | dlx-fi-ud11 | dlx-da-ud11 |      dlx-et | dlx-hu-ud11
       10 sentences: | 18.47 |       15.64 |       17.62 |       14.79 |       11.06
       20 sentences: | 27.99 |       22.89 |       21.92 |       19.03 |       14.36
       50 sentences: | 37.17 |       27.47 |       24.79 |       25.57 |       17.26
      100 sentences: | 46.55 |       32.37 |       28.30 |       27.22 |       17.98
      200 sentences: | 53.28 |       36.78 |       28.56 |       29.08 |       20.83
      500 sentences: | 59.56 |       40.43 |       30.10 |       29.36 |       21.80
     1000 sentences: | 65.73 |       43.32 |       31.56 |       26.21 |       23.00
     2000 sentences: | 70.22 |       47.31 |       32.17 |       25.78 |       23.16
     5000 sentences: | 73.93 |       50.30 |       32.54 |       25.78 |       23.16
         ~ smf sents |       |         156 |          35 |     USELESS |     USELESS
                     |       |             |             |             |            
Treebank: fi-ud11ftb |   smf |             |             |             |            
       10 sentences: |  9.00 |             |             |             |            
       20 sentences: | 30.21 |             |             |             |            
       50 sentences: | 37.61 |             |             |             |            
      100 sentences: | 48.12 |             |             |             |            
      200 sentences: | 52.88 |             |             |             |            
      500 sentences: | 62.02 |             |             |             |            
     1000 sentences: | 68.45 |             |             |             |            
     2000 sentences: | 72.28 |             |             |             |            
     5000 sentences: | 77.52 |             |             |             |            
         ~ smf sents |       |             |             |             |            
                     |       |             |             |             |            
   Treebank: fr-ud11 |   smf | dlx-fr-ud11 | dlx-it-ud11 | dlx-es-ud11 |      dlx-ca
       10 sentences: | 44.35 |       42.31 |       42.47 |       41.97 |       33.09
       20 sentences: | 48.75 |       46.81 |       45.87 |       44.76 |       36.13
       50 sentences: | 56.62 |       50.79 |       49.94 |       48.84 |       39.53
      100 sentences: | 60.76 |       53.61 |       52.03 |       52.15 |       41.92
      200 sentences: | 65.28 |       56.45 |       53.32 |       53.18 |       41.32
      500 sentences: | 61.96 |       56.27 |       55.52 |       50.90 |       39.02
     1000 sentences: | 71.57 |       61.45 |       55.83 |       51.06 |       39.63
     2000 sentences: | 73.93 |       64.01 |       57.73 |       52.85 |       40.26
     5000 sentences: | 75.51 |       66.53 |       58.36 |       56.13 |            
         ~ smf sents |       |         738 |          71 |          48 |     USELESS
                     |       |             |             |             |            
   Treebank: ga-ud11 |   smf | dlx-ga-ud11 | dlx-id-ud11 | dlx-it-ud11 | dlx-he-ud11
       10 sentences: | 40.47 |       35.52 |       26.36 |       31.57 |       22.49
       20 sentences: | 45.25 |       39.58 |       30.18 |       32.82 |       24.45
       50 sentences: | 54.34 |       43.71 |       33.58 |       34.79 |       28.32
      100 sentences: | 59.75 |       48.63 |       35.65 |       36.28 |       28.69
      200 sentences: | 64.07 |       51.93 |       36.85 |       36.70 |       31.54
      500 sentences: | 69.54 |       57.42 |       37.90 |       37.30 |       30.39
     1000 sentences: | 70.72 |       58.16 |       39.65 |       38.11 |       29.79
     2000 sentences: | 70.72 |       58.16 |             |       38.21 |       31.46
     5000 sentences: | 70.72 |       58.16 |       40.31 |       39.26 |       31.44
         ~ smf sents |       |          85 |     USELESS |     USELESS |     USELESS
                     |       |             |             |             |            
       Treebank: grc |   smf |     dlx-grc |      dlx-la | dlx-bg-ud11 |      dlx-pl
       10 sentences: | 21.15 |       17.42 |       13.44 |       14.61 |       16.92
       20 sentences: | 34.01 |       23.15 |       15.65 |       14.97 |       18.65
       50 sentences: | 39.86 |       28.31 |       17.77 |       21.05 |       21.19
      100 sentences: | 41.56 |       28.70 |       19.64 |       22.04 |       22.63
      200 sentences: | 46.58 |       31.44 |       22.75 |       24.38 |       21.52
      500 sentences: | 50.45 |       33.47 |       22.92 |       24.95 |       22.82
     1000 sentences: | 53.63 |       36.58 |       23.79 |       21.89 |       21.20
     2000 sentences: | 55.96 |       38.41 |       25.25 |       22.11 |       23.39
     5000 sentences: | 58.13 |       40.06 |       25.44 |       22.97 |       24.93
         ~ smf sents |       |          56 |     USELESS |     USELESS |     USELESS
                     |       |             |             |             |            
   Treebank: he-ud11 |   smf | dlx-he-ud11 | dlx-id-ud11 | dlx-it-ud11 |      dlx-ca
       10 sentences: | 39.72 |       35.83 |       19.72 |       22.30 |       22.14
       20 sentences: | 46.13 |       41.42 |       23.57 |       23.86 |       22.18
       50 sentences: | 56.37 |       52.16 |       27.26 |       26.35 |       25.08
      100 sentences: | 59.23 |       54.00 |       28.91 |       26.61 |       29.18
      200 sentences: | 64.72 |       57.18 |       31.33 |       30.40 |       28.76
      500 sentences: | 69.23 |       61.18 |       32.08 |       30.88 |       28.26
     1000 sentences: | 73.07 |       63.78 |       32.33 |       31.90 |       28.17
     2000 sentences: | 77.09 |       66.59 |             |       32.45 |       29.12
     5000 sentences: | 79.77 |       68.42 |       34.55 |       34.09 |            
         ~ smf sents |       |         446 |     USELESS |     USELESS |     USELESS
                     |       |             |             |             |            
        Treebank: hi |   smf |      dlx-hi |      dlx-ta | dlx-hu-ud11 | dlx-eu-ud11
       10 sentences: | 58.41 |       54.12 |       17.26 |        9.57 |       11.98
       20 sentences: | 59.84 |       53.83 |       29.94 |       18.11 |       12.83
       50 sentences: | 68.05 |       58.41 |       38.70 |       30.18 |       14.63
      100 sentences: | 73.00 |       64.80 |       40.77 |       31.20 |       17.38
      200 sentences: | 76.29 |       65.56 |       43.33 |       32.52 |       20.10
      500 sentences: | 79.84 |       68.82 |       43.29 |       31.96 |       22.67
     1000 sentences: | 81.90 |       70.32 |       43.29 |       33.51 |       22.54
     2000 sentences: | 84.02 |       71.12 |       43.29 |       33.22 |       22.37
     5000 sentences: | 85.43 |       72.94 |       43.29 |       33.22 |       22.96
         ~ smf sents |       |          99 |     USELESS |     USELESS |     USELESS
                     |       |             |             |             |            
        Treebank: hr |   smf |             |             |             |            
       10 sentences: | 34.73 |             |             |             |            
       20 sentences: | 43.19 |             |             |             |            
       50 sentences: | 56.86 |             |             |             |            
      100 sentences: | 63.18 |             |             |             |            
      200 sentences: | 66.37 |             |             |             |            
      500 sentences: | 67.04 |             |             |             |            
     1000 sentences: | 70.13 |             |             |             |            
     2000 sentences: | 68.85 |             |             |             |            
     5000 sentences: | 81.16 |             |             |             |            
         ~ smf sents |       |             |             |             |            
                     |       |             |             |             |            
   Treebank: hr-ud11 |   smf | dlx-hr-ud11 | dlx-bg-ud11 |      dlx-sl |      dlx-pl
       10 sentences: | 31.01 |       29.02 |       16.56 |       28.37 |       26.65
       20 sentences: | 39.88 |       38.11 |       20.27 |       31.35 |       27.42
       50 sentences: | 52.34 |       45.46 |       29.24 |       35.35 |       30.02
      100 sentences: | 57.92 |       49.77 |       32.81 |       35.84 |       33.68
      200 sentences: | 61.56 |       50.24 |       39.18 |       37.82 |       34.28
      500 sentences: | 66.65 |       57.46 |       42.36 |       38.43 |       37.00
     1000 sentences: | 70.99 |       60.42 |       39.59 |       41.36 |       36.01
     2000 sentences: | 74.24 |       63.67 |       40.59 |       40.73 |       39.81
     5000 sentences: | 76.10 |       63.28 |       41.29 |       40.73 |       39.47
         ~ smf sents |       |         301 |          23 |          22 |     USELESS
                     |       |             |             |             |            
   Treebank: hu-ud11 |   smf | dlx-hu-ud11 | dlx-bg-ud11 | dlx-sv-ud11 | dlx-fi-ud11
       10 sentences: | 40.67 |       37.95 |        8.56 |       10.83 |        5.69
       20 sentences: | 50.61 |       44.45 |       11.12 |       15.64 |       10.43
       50 sentences: | 60.26 |       47.16 |       17.33 |       20.08 |       11.64
      100 sentences: | 66.83 |       52.89 |       21.62 |       23.16 |       15.05
      200 sentences: | 68.34 |       53.66 |       27.71 |       23.56 |       18.68
      500 sentences: | 71.97 |       54.90 |       29.03 |       24.45 |       19.45
     1000 sentences: | 74.87 |       56.67 |       22.76 |       25.77 |       21.62
     2000 sentences: | 75.01 |       57.00 |       23.49 |       26.79 |       20.74
     5000 sentences: | 75.01 |       57.00 |       22.79 |       25.88 |       21.95
         ~ smf sents |       |          40 |     USELESS |     USELESS |     USELESS
                     |       |             |             |             |            
   Treebank: id-ud11 |   smf | dlx-id-ud11 | dlx-it-ud11 | dlx-hr-ud11 | dlx-he-ud11
       10 sentences: | 44.16 |       38.13 |       27.31 |       24.16 |       20.72
       20 sentences: | 51.08 |       44.33 |       33.84 |       28.10 |       25.15
       50 sentences: | 59.91 |       51.21 |       35.55 |       34.20 |       32.65
      100 sentences: | 65.73 |       55.17 |       38.02 |       36.79 |       32.99
      200 sentences: | 69.32 |       59.41 |       42.92 |       35.80 |       35.23
      500 sentences: | 72.43 |       61.78 |       42.47 |       37.61 |       34.98
     1000 sentences: | 73.68 |       64.80 |       44.04 |       37.59 |       36.22
     2000 sentences: |       |             |       44.76 |       39.37 |       36.55
     5000 sentences: | 76.86 |       68.72 |       44.73 |       39.74 |       38.33
         ~ smf sents |       |        4682 |        3746 |        3551 |        3496
                     |       |             |             |             |            
   Treebank: it-ud11 |   smf | dlx-it-ud11 | dlx-fr-ud11 |      dlx-ca | dlx-hr-ud11
       10 sentences: | 48.01 |       50.91 |       46.45 |       36.50 |       21.53
       20 sentences: | 54.37 |       55.03 |       51.82 |       40.27 |       32.74
       50 sentences: | 61.99 |       58.98 |       55.99 |       43.54 |       37.70
      100 sentences: | 67.53 |       61.43 |       56.56 |       46.23 |       39.73
      200 sentences: | 72.25 |       66.00 |       59.56 |       46.66 |       38.79
      500 sentences: | 76.36 |       68.36 |       57.00 |       42.42 |       40.52
     1000 sentences: | 78.77 |       69.33 |       62.45 |       43.03 |       40.03
     2000 sentences: | 80.70 |       70.71 |       64.41 |       43.18 |       39.76
     5000 sentences: | 84.55 |       73.34 |       64.33 |             |       41.83
         ~ smf sents |       |         280 |          71 |     USELESS |     USELESS
                     |       |             |             |             |            
        Treebank: ja |   smf |      dlx-ja |      dlx-tr |     dlx-grc | dlx-he-ud11
       10 sentences: | 50.19 |       43.82 |       23.73 |       17.64 |       10.84
       20 sentences: | 62.32 |       48.68 |       27.04 |       18.20 |       11.09
       50 sentences: | 72.08 |       59.75 |       29.14 |       17.16 |       12.61
      100 sentences: | 77.05 |       60.57 |       31.89 |       17.30 |       12.79
      200 sentences: | 82.51 |       64.34 |       28.04 |       19.04 |       12.33
      500 sentences: | 84.51 |       68.08 |       26.85 |       17.66 |       13.68
     1000 sentences: | 86.21 |       70.97 |       26.85 |       17.15 |       12.96
     2000 sentences: | 74.77 |       61.10 |       25.10 |       17.18 |       12.77
     5000 sentences: | 75.98 |       62.74 |       26.01 |       17.34 |       12.75
         ~ smf sents |       |          21 |     USELESS |     USELESS |     USELESS
                     |       |             |             |             |            
        Treebank: la |   smf |      dlx-la |     dlx-grc |      dlx-sk |      dlx-pl
       10 sentences: | 20.34 |       11.49 |        8.86 |       10.28 |       12.53
       20 sentences: | 24.62 |       16.23 |       13.79 |       11.89 |       14.94
       50 sentences: | 27.36 |       17.88 |       16.38 |       16.90 |       17.52
      100 sentences: | 32.70 |       20.66 |       16.69 |       19.42 |       19.32
      200 sentences: | 34.77 |       22.12 |       17.02 |       20.82 |       18.86
      500 sentences: | 39.35 |       23.62 |       18.51 |       22.12 |       21.26
     1000 sentences: | 44.69 |       25.19 |       20.03 |       21.99 |       21.01
     2000 sentences: | 48.14 |       28.93 |       20.64 |       22.14 |       21.97
     5000 sentences: | 49.26 |       30.24 |       23.85 |       23.48 |       21.58
         ~ smf sents |       |          77 |     USELESS |     USELESS |     USELESS
                     |       |             |             |             |            
     Treebank: la-it |   smf |             |             |             |            
       10 sentences: | 20.94 |             |             |             |            
       20 sentences: | 22.95 |             |             |             |            
       50 sentences: | 30.80 |             |             |             |            
      100 sentences: | 37.11 |             |             |             |            
      200 sentences: | 41.61 |             |             |             |            
      500 sentences: | 50.78 |             |             |             |            
     1000 sentences: | 50.54 |             |             |             |            
     2000 sentences: | 62.46 |             |             |             |            
     5000 sentences: | 67.04 |             |             |             |            
         ~ smf sents |       |             |             |             |            
                     |       |             |             |             |            
        Treebank: nl |   smf |      dlx-nl | dlx-sv-ud11 | dlx-hu-ud11 | dlx-fi-ud11
       10 sentences: | 36.26 |       30.69 |       17.16 |       14.79 |       10.12
       20 sentences: | 42.76 |       35.78 |       18.98 |       17.53 |       10.30
       50 sentences: | 43.39 |       37.30 |       23.07 |       18.84 |       11.79
      100 sentences: | 45.13 |       37.46 |       23.14 |       19.49 |       11.97
      200 sentences: | 47.54 |       38.36 |       24.18 |       19.41 |       12.99
      500 sentences: | 52.00 |       42.62 |       25.39 |       22.05 |       16.12
     1000 sentences: | 57.71 |       50.10 |       25.18 |       21.46 |       17.82
     2000 sentences: | 53.95 |       45.68 |       26.58 |       21.74 |       17.00
     5000 sentences: | 68.13 |       57.96 |       27.42 |       21.74 |       18.14
         ~ smf sents |       |        2848 |     USELESS |     USELESS |     USELESS
                     |       |             |             |             |            
        Treebank: pl |   smf |      dlx-pl | dlx-hr-ud11 | dlx-bg-ud11 |      dlx-sl
       10 sentences: | 40.10 |       39.87 |       35.66 |       22.37 |       35.02
       20 sentences: | 47.92 |       46.30 |       39.66 |       28.72 |       36.23
       50 sentences: | 58.32 |       50.54 |       47.24 |       41.09 |       44.67
      100 sentences: | 65.02 |       56.40 |       48.98 |       43.35 |       47.01
      200 sentences: | 69.97 |       59.07 |       48.91 |       48.98 |       45.89
      500 sentences: | 75.38 |       62.57 |       48.09 |       50.78 |       47.03
     1000 sentences: | 68.01 |       56.18 |       48.87 |       44.01 |       50.08
     2000 sentences: | 83.26 |       68.66 |       52.35 |       43.87 |       48.22
     5000 sentences: | 87.21 |       71.45 |       51.78 |       44.64 |       48.22
         ~ smf sents |       |        1226 |          31 |     USELESS |          21
                     |       |             |             |             |            
        Treebank: pt |   smf |      dlx-pt | dlx-fr-ud11 | dlx-it-ud11 | dlx-he-ud11
       10 sentences: | 50.10 |       45.89 |       45.26 |       47.27 |       21.40
       20 sentences: | 58.84 |       53.23 |       47.39 |       50.06 |       25.44
       50 sentences: | 64.18 |       58.42 |       51.33 |       51.07 |       32.20
      100 sentences: | 66.61 |       60.63 |       52.71 |       51.53 |       33.36
      200 sentences: | 71.17 |       63.26 |       53.92 |       55.83 |       39.48
      500 sentences: | 66.99 |       59.73 |       52.20 |       58.08 |       38.76
     1000 sentences: | 68.63 |       60.89 |       58.98 |       57.94 |       40.11
     2000 sentences: | 69.32 |       61.55 |       60.82 |       60.12 |       41.27
     5000 sentences: | 71.32 |       62.06 |       61.64 |       60.94 |       41.18
         ~ smf sents |       |          38 |          36 |          32 |     USELESS
