        Treebank: ar |   smf |      dlx-ar |      dlx-pl | dlx-id-ud11 | dlx-he-ud11
       10 sentences: | 43.67 |       37.78 |       27.75 |       24.26 |       19.00
       20 sentences: | 47.90 |       40.38 |       30.71 |       26.17 |       21.05
       50 sentences: | 55.06 |       46.88 |       33.47 |       28.74 |       27.42
      100 sentences: | 59.15 |       50.89 |       33.41 |       28.96 |       27.57
      200 sentences: | 61.95 |       53.12 |       33.36 |       29.79 |       27.05
      500 sentences: | 57.78 |       49.71 |       34.10 |       29.61 |       29.10
     1000 sentences: | 68.70 |       58.82 |       33.74 |       30.50 |       28.91
     2000 sentences: | 70.86 |       60.49 |       36.19 |             |       29.72
     5000 sentences: | 74.18 |             |       37.53 |       31.83 |       29.47
         ~ smf sents |       |     USELESS |     USELESS |     USELESS |     USELESS
                     |       |             |             |             |            
   Treebank: bg-ud11 |   smf | dlx-bg-ud11 | dlx-hr-ud11 | dlx-da-ud11 |      dlx-sl
       10 sentences: | 31.12 |       28.84 |       35.34 |       35.20 |       37.80
       20 sentences: | 33.77 |       33.76 |       42.84 |       43.26 |       37.70
       50 sentences: | 54.62 |       51.04 |       49.26 |       49.66 |       43.86
      100 sentences: | 59.13 |       53.74 |       51.10 |       51.22 |       47.77
      200 sentences: | 68.92 |       62.35 |       52.28 |       50.90 |       49.51
      500 sentences: | 73.97 |       66.20 |       54.59 |       51.44 |       51.72
     1000 sentences: | 67.69 |       60.60 |       54.99 |       52.20 |       53.90
     2000 sentences: | 72.16 |       65.73 |       57.46 |       53.36 |       51.83
     5000 sentences: | 76.12 |       69.78 |       57.67 |       54.70 |       51.83
         ~ smf sents |       |        1468 |          84 |          51 |          46
                     |       |             |             |             |            
        Treebank: bn |   smf |      dlx-bn |      dlx-te |      dlx-ru |      dlx-ja
       10 sentences: | 32.58 |       29.35 |       23.83 |        3.96 |       10.20
       20 sentences: | 39.55 |       35.28 |       22.69 |        5.94 |       10.41
       50 sentences: | 44.54 |       38.30 |       29.25 |        4.38 |       12.39
      100 sentences: | 52.76 |       38.82 |       36.32 |        7.39 |        9.27
      200 sentences: | 58.69 |       42.88 |       36.53 |       17.17 |       12.08
      500 sentences: | 60.98 |       43.40 |       39.34 |       16.86 |       14.05
     1000 sentences: | 65.67 |       48.18 |       40.59 |       14.16 |       15.20
     2000 sentences: | 65.67 |       48.18 |       40.07 |       18.01 |       16.76
     5000 sentences: | 65.67 |       48.18 |       40.07 |       16.34 |       17.80
         ~ smf sents |       |          72 |          23 |     USELESS |     USELESS
                     |       |             |             |             |            
        Treebank: ca |   smf |      dlx-ca | dlx-fr-ud11 | dlx-it-ud11 | dlx-es-ud11
       10 sentences: | 51.58 |       47.39 |       37.22 |       38.89 |       35.50
       20 sentences: | 56.61 |       50.80 |       39.51 |       40.08 |       38.99
       50 sentences: | 64.00 |       56.00 |       44.02 |       43.43 |       43.36
      100 sentences: | 69.40 |       59.59 |       45.25 |       44.80 |       46.52
      200 sentences: | 73.75 |       62.60 |       46.99 |       47.47 |       48.06
      500 sentences: | 71.42 |       60.11 |       45.49 |       49.22 |       44.43
     1000 sentences: | 73.08 |       61.81 |       49.70 |       49.97 |       44.79
     2000 sentences: | 74.44 |       63.40 |       51.08 |       51.13 |       46.00
     5000 sentences: |       |             |       52.28 |       51.84 |       49.29
         ~ smf sents |       |             |     BETTER! |     BETTER! |     BETTER!
                     |       |             |             |             |            
   Treebank: cs-ud11 |   smf | dlx-cs-ud11 |      dlx-sl | dlx-hr-ud11 | dlx-bg-ud11
       10 sentences: | 31.86 |       27.89 |       29.95 |       29.15 |       17.24
       20 sentences: | 42.24 |       35.84 |       35.29 |       34.95 |       20.37
       50 sentences: | 52.88 |       42.40 |       40.40 |       40.50 |       34.46
      100 sentences: | 58.24 |       46.39 |       44.13 |       42.49 |       38.80
      200 sentences: | 62.59 |       50.64 |       46.51 |       44.17 |       44.68
      500 sentences: | 66.87 |       54.06 |       48.48 |       46.80 |       48.14
     1000 sentences: | 62.23 |       49.16 |       50.49 |       47.69 |       44.98
     2000 sentences: | 73.06 |       58.53 |       49.97 |       49.25 |       46.44
     5000 sentences: | 76.73 |       61.63 |       49.97 |       50.03 |       47.51
         ~ smf sents |       |         178 |          42 |          42 |          35
                     |       |             |             |             |            
   Treebank: da-ud11 |   smf | dlx-da-ud11 | dlx-sv-ud11 | dlx-hr-ud11 | dlx-fi-ud11
       10 sentences: | 30.47 |       30.44 |       25.47 |       26.85 |       11.73
       20 sentences: | 44.74 |       42.73 |       30.06 |       32.06 |       17.88
       50 sentences: | 56.11 |       51.99 |       36.47 |       36.88 |       21.74
      100 sentences: | 62.39 |       57.16 |       40.83 |       39.58 |       24.63
      200 sentences: | 67.40 |       58.48 |       42.35 |       39.62 |       27.93
      500 sentences: | 72.37 |       63.23 |       45.61 |       41.75 |       29.93
     1000 sentences: | 74.95 |       64.87 |       45.87 |       40.88 |       30.64
     2000 sentences: | 78.47 |       68.58 |       50.36 |       41.82 |       32.83
     5000 sentences: | 80.49 |       71.21 |       53.37 |       43.27 |       35.12
         ~ smf sents |       |         430 |          43 |     USELESS |     USELESS
                     |       |             |             |             |            
        Treebank: de |   smf |             |             |             |            
       10 sentences: | 44.72 |             |             |             |            
       20 sentences: | 52.01 |             |             |             |            
       50 sentences: | 60.06 |             |             |             |            
      100 sentences: | 65.53 |             |             |             |            
      200 sentences: | 67.39 |             |             |             |            
      500 sentences: | 66.28 |             |             |             |            
     1000 sentences: | 69.94 |             |             |             |            
     2000 sentences: | 71.64 |             |             |             |            
     5000 sentences: | 73.57 |             |             |             |            
         ~ smf sents |       |             |             |             |            
                     |       |             |             |             |            
   Treebank: de-ud11 |   smf | dlx-de-ud11 | dlx-sv-ud11 | dlx-bg-ud11 | dlx-hr-ud11
       10 sentences: | 38.13 |       33.07 |       29.56 |       15.38 |       21.67
       20 sentences: | 44.19 |       38.38 |       31.11 |       17.74 |       28.81
       50 sentences: | 48.58 |       43.40 |       37.62 |       33.52 |       32.81
      100 sentences: | 55.79 |       47.92 |       41.22 |       38.12 |       36.20
      200 sentences: | 59.73 |       51.71 |       42.46 |       43.37 |       35.15
      500 sentences: | 64.05 |       56.23 |       44.44 |       45.08 |       36.20
     1000 sentences: | 67.18 |       58.91 |       45.19 |       42.17 |       38.12
     2000 sentences: | 74.63 |       65.85 |       44.52 |       43.47 |       38.24
     5000 sentences: | 75.27 |       67.25 |       45.73 |       44.01 |       39.01
         ~ smf sents |       |        1009 |          31 |     USELESS |     USELESS
                     |       |             |             |             |            
   Treebank: el-ud11 |   smf | dlx-el-ud11 | dlx-hr-ud11 |      dlx-pl | dlx-bg-ud11
       10 sentences: | 48.73 |       40.71 |       21.42 |       24.23 |       13.13
       20 sentences: | 53.97 |       42.33 |       25.90 |       25.59 |       16.29
       50 sentences: | 61.76 |       48.21 |       31.80 |       26.49 |       26.29
      100 sentences: | 66.40 |       51.49 |       33.09 |       29.80 |       28.87
      200 sentences: | 70.38 |       55.30 |       33.95 |       30.84 |       31.67
      500 sentences: | 74.69 |       59.69 |       34.50 |       31.07 |       35.41
     1000 sentences: | 76.06 |       60.98 |       35.43 |       30.62 |       34.46
     2000 sentences: |       |             |       37.13 |       35.18 |       34.78
     5000 sentences: |       |             |       37.81 |       36.54 |       35.20
         ~ smf sents |       |             |     BETTER! |     BETTER! |     BETTER!
                     |       |             |             |             |            
        Treebank: en |   smf |             |             |             |            
       10 sentences: | 40.98 |             |             |             |            
       20 sentences: | 54.05 |             |             |             |            
       50 sentences: | 59.27 |             |             |             |            
