trans      ar     bg     bn     ca     cs     da     de     el     en     es     fa     fi     grc    hi    
average    0.9660 0.9973 0.9997 0.9898 0.9935 0.9973 0.9971 0.9939 0.9982 0.9915 0.9979 0.9966 0.9759 0.9815
fMhLsNcBpP 0.9632 0.9976 0.9996 0.9868 0.9894 0.9968 0.9973 0.9915 0.9972 0.9887 0.9981 0.9948 0.9739 0.9745
fMhMsNcBpP 0.9632 0.9976 0.9996 0.9858 0.9893 0.9968 0.9969 0.9912 0.9972 0.9883 0.9980 0.9946 0.9716 0.9745
fMhRsNcBpP 0.9669 0.9962 0.9996 0.9859 0.9896 0.9964 0.9956 0.9907 0.9973 0.9882 0.9965 0.9937 0.9543 0.9744
fPhLsHcHpB 0.9668 0.9980 1.0000 1.0000 0.9995 0.9994 0.9987 0.9988 1.0000 1.0000 0.9998 1.0000 0.9984 1.0000
fPhMsHcHpB 0.9668 0.9980 1.0000 1.0000 0.9995 0.9994 0.9987 0.9988 1.0000 1.0000 0.9998 1.0000 0.9984 1.0000
fShLsNcBpP 0.9668 0.9973 0.9996 0.9861 0.9936 0.9967 0.9970 0.9940 0.9980 0.9885 0.9974 0.9977 0.9741 0.9759
fShMsNcBpP 0.9690 0.9973 0.9996 0.9863 0.9935 0.9967 0.9968 0.9937 0.9979 0.9886 0.9973 0.9974 0.9731 0.9761
fShRsNcBpP 0.9660 0.9966 0.9996 0.9878 0.9933 0.9965 0.9961 0.9934 0.9980 0.9897 0.9966 0.9947 0.9630 0.9759

trans      hu     it     ja     la     nl     pt     ro     ru     sl     sv     ta     te     tr     average
average    0.9982 0.9947 0.9999 0.9719 0.9944 0.9906 1.0000 0.9984 0.9877 0.9964 0.9963 1.0000 0.9913 0.9924 
fMhLsNcBpP 0.9975 0.9940 0.9999 0.9699 0.9929 0.9874 1.0000 0.9981 0.9830 0.9967 0.9952 1.0000 0.9836 0.9906 
fMhMsNcBpP 0.9973 0.9940 0.9999 0.9687 0.9930 0.9871 1.0000 0.9981 0.9827 0.9964 0.9950 1.0000 0.9832 0.9904 
fMhRsNcBpP 0.9975 0.9940 0.9999 0.9646 0.9933 0.9873 1.0000 0.9981 0.9807 0.9950 0.9950 1.0000 0.9834 0.9894 
fPhLsHcHpB 1.0000 0.9974 1.0000 0.9876 0.9975 1.0000 1.0000 1.0000 0.9966 0.9979 0.9996 1.0000 1.0000 0.9976 
fPhMsHcHpB 1.0000 0.9974 1.0000 0.9886 0.9975 1.0000 1.0000 1.0000 0.9966 0.9979 0.9996 1.0000 1.0000 0.9977 
fShLsNcBpP 0.9977 0.9936 0.9999 0.9675 0.9936 0.9870 1.0000 0.9977 0.9879 0.9962 0.9953 1.0000 0.9852 0.9913 
fShMsNcBpP 0.9976 0.9936 0.9999 0.9668 0.9936 0.9877 1.0000 0.9976 0.9882 0.9961 0.9955 1.0000 0.9975 0.9918 
fShRsNcBpP 0.9978 0.9934 0.9999 0.9641 0.9936 0.9883 1.0000 0.9976 0.9857 0.9953 0.9955 1.0000 0.9977 0.9910 

