trans      bg     da     de     en     fa     hi     hu     it     ja     nl     ro     ru     sv     ta     te     average
average    0.9974 0.9980 0.9972 0.9984 0.9982 0.9946 0.9984 0.9948 0.9999 0.9990 1.0000 0.9986 0.9943 0.9962 0.9984 0.9975 
fMhLsNcBpP 0.9975 0.9979 0.9972 0.9972 0.9981 0.9913 0.9975 0.9940 0.9999 0.9983 1.0000 0.9981 0.9926 0.9953 0.9970 0.9968 
fMhMsNcBpP 0.9976 0.9976 0.9968 0.9972 0.9980 0.9912 0.9973 0.9939 0.9999 0.9983 1.0000 0.9981 0.9924 0.9951 0.9970 0.9967 
fMhRsNcBpP 0.9961 0.9961 0.9954 0.9973 0.9965 0.9915 0.9975 0.9936 0.9999 0.9982 1.0000 0.9981 0.9902 0.9951 0.9970 0.9962 
fPhLsHcHpB 0.9979 0.9995 0.9988 1.0000 0.9998 1.0000 1.0000 0.9975 1.0000 1.0000 1.0000 1.0000 0.9997 0.9979 1.0000 0.9994 
fPhMsHcHpB 0.9980 0.9995 0.9987 1.0000 0.9998 1.0000 1.0000 0.9973 1.0000 1.0000 1.0000 1.0000 0.9999 0.9979 1.0000 0.9994 
fPhRsHcHpB 0.9980 0.9997 0.9987 1.0000 1.0000 1.0000 1.0000 0.9973 1.0000 1.0000 1.0000 1.0000 1.0000 0.9979 1.0000 0.9994 
fShLsNcBpP 0.9975 0.9975 0.9969 0.9980 0.9974 0.9924 0.9977 0.9935 0.9999 0.9989 1.0000 0.9978 0.9917 0.9953 0.9976 0.9968 
fShMsNcBpP 0.9972 0.9970 0.9965 0.9979 0.9973 0.9923 0.9976 0.9935 0.9999 0.9989 1.0000 0.9978 0.9916 0.9955 0.9986 0.9968 
fShRsNcBpP 0.9966 0.9965 0.9959 0.9980 0.9966 0.9922 0.9978 0.9933 0.9999 0.9987 1.0000 0.9978 0.9904 0.9955 0.9988 0.9965 

