       Treebank: ar-ud12 |               smf |        dlx-ar-ud12 |        dlx-he-ud12 |        dlx-pl-ud12 |       dlx-got-ud12 |    dlx-id-ud12 | dlx-grc-ud12proiel
           10 sentences: |             56.95 |              54.86 |              39.88 |              44.95 |              38.15 |          41.48 |              38.05
           20 sentences: |             58.56 |              56.21 |              44.89 |              48.44 |              42.45 |          43.09 |              36.18
           50 sentences: |             63.81 |              61.32 |              49.31 |            (46.80) |              44.37 |          44.31 |              42.57
          100 sentences: |             67.35 |              63.32 |              46.79 |            (46.10) |              46.71 |          45.23 |              45.65
          200 sentences: |             69.24 |              66.14 |              49.12 |            (47.89) |              46.58 |          45.64 |              42.76
          500 sentences: |             67.98 |              63.72 |              47.90 |            (48.41) |              47.66 |          45.33 |              43.39
         1000 sentences: |             75.25 |              69.45 |              48.94 |            (47.80) |              48.29 |          46.17 |              46.25
         2000 sentences: |             77.27 |              70.34 |              49.40 |            (45.27) |            (47.22) |          47.36 |              46.44
         5000 sentences: |             80.33 |              72.75 |              49.50 |            (46.67) |            (44.67) |          48.22 |              47.83
         6174 sentences: |             80.89 |              73.63 |              50.03 |            (47.43) |            (44.67) |        (48.22) |            (43.04)
             ~ smf sents |              6174 |                865 |            USELESS |            USELESS |            USELESS |        USELESS |            USELESS
                         |                   |                    |                    |                    |                    |                |                   
       Treebank: bg-ud12 |               smf |        dlx-bg-ud12 |        dlx-sl-ud12 |        dlx-hr-ud12 |        dlx-cs-ud12 |    dlx-da-ud12 |        dlx-pl-ud12
           10 sentences: |             49.67 |              47.67 |              50.45 |              54.17 |              58.10 |          58.74 |              52.94
           20 sentences: |             52.83 |              54.01 |              57.89 |              57.49 |              63.66 |          64.50 |              56.22
           50 sentences: |             67.93 |              67.88 |              68.33 |              66.64 |              67.15 |          66.47 |              62.53
          100 sentences: |             72.08 |              70.25 |              72.11 |              69.83 |              68.33 |          66.08 |              62.70
          200 sentences: |             76.70 |              75.19 |              73.74 |              71.32 |              71.84 |          68.22 |              67.62
          500 sentences: |             79.72 |              78.31 |              75.42 |              72.80 |              73.20 |          69.80 |              67.93
         1000 sentences: |             79.16 |              77.04 |              75.80 |              73.04 |              71.04 |          70.76 |            (66.38)
         2000 sentences: |             81.71 |              73.15 |              77.15 |              73.87 |              74.35 |        (68.28) |            (65.02)
         5000 sentences: |             84.14 |              73.65 |              76.95 |              74.68 |              74.60 |        (67.32) |            (65.38)
         8907 sentences: |             92.25 |              89.04 |              77.60 |            (74.68) |            (73.97) |        (67.32) |            (64.25)
             ~ smf sents |              8907 |               7361 |                289 |                156 |                155 |             84 |                 50
                         |                   |                    |                    |                    |                    |                |                   
       Treebank: cs-ud12 |               smf |        dlx-cs-ud12 |        dlx-sl-ud12 |        dlx-bg-ud12 |        dlx-hr-ud12 |    dlx-pl-ud12 |        dlx-fi-ud12
           10 sentences: |             48.39 |              49.12 |              46.97 |              37.69 |              44.35 |          40.85 |              28.80
