       Treebank: ar-ud12 |               smf |        dlx-ar-ud12 |        dlx-he-ud12 |        dlx-pl-ud12 |       dlx-got-ud12 |    dlx-id-ud12 | dlx-grc-ud12proiel
           20 sentences: |             55.30 |              55.83 |              49.86 |              40.85 |              49.31 |          45.47 |              24.90
           50 sentences: |             62.36 |              60.75 |              57.57 |              50.93 |              57.69 |          50.06 |              36.97
          100 sentences: |             65.59 |              62.59 |              60.42 |              54.08 |              59.58 |          49.93 |              41.97
          200 sentences: |             69.25 |              66.01 |              61.28 |              58.55 |              61.39 |          53.43 |              50.25
          500 sentences: |             73.03 |              69.60 |              64.31 |              60.04 |              63.11 |          55.29 |              50.77
         1000 sentences: |             71.97 |              67.58 |              65.83 |              59.77 |              64.05 |          55.56 |              54.13
         2000 sentences: |             78.15 |              73.52 |              65.62 |              57.17 |              64.85 |          55.61 |              55.11
         5000 sentences: |             81.24 |              75.47 |              65.91 |              58.51 |              65.31 |          57.48 |            (53.19)
        68495 sentences: |             88.48 |              82.09 |              66.29 |              65.79 |            (65.31) |          57.53 |            (51.81)
             ~ smf sents |             68495 |              12455 |                119 |                105 |                 96 |             29 |                 20
                         |                   |                    |                    |                    |                    |                |                   
       Treebank: cu-ud12 |               smf |        dlx-cu-ud12 |       dlx-got-ud12 | dlx-grc-ud12proiel |  dlx-la-ud12proiel |    dlx-bg-ud12 |       dlx-grc-ud12
           10 sentences: |             61.40 |              62.71 |              51.16 |              37.65 |              45.21 |          41.06 |              40.72
           20 sentences: |             63.82 |              62.06 |              59.15 |              35.27 |              46.00 |          44.82 |              49.92
           50 sentences: |             66.36 |              64.49 |              60.35 |              53.70 |              45.13 |          52.00 |              47.16
          100 sentences: |             68.78 |              67.91 |              65.92 |              65.53 |              46.75 |          53.42 |              54.37
          200 sentences: |             74.55 |              72.99 |              72.48 |              67.10 |              47.83 |          54.43 |              55.47
          500 sentences: |             78.82 |              76.34 |              74.47 |              69.11 |              51.08 |          55.82 |              57.83
         1000 sentences: |             81.69 |              77.58 |              75.79 |              71.87 |              50.05 |          57.77 |              58.50
         2000 sentences: |             83.53 |              80.65 |              77.84 |              70.73 |              53.17 |          59.13 |              60.37
         5000 sentences: |             87.27 |              81.40 |            (77.80) |              72.52 |              61.00 |          61.26 |              60.94
         5077 sentences: |           (86.91) |              81.81 |            (77.80) |            (71.36) |              66.55 |          62.99 |            (60.55)
             ~ smf sents |              5000 |               1065 |                431 |                165 |                 54 |             17 |            USELESS
                         |                   |                    |                    |                    |                    |                |                   
       Treebank: da-ud12 |               smf |        dlx-da-ud12 |        dlx-bg-ud12 |        dlx-sv-ud12 |        dlx-no-ud12 |    dlx-fi-ud12 |        dlx-sl-ud12
           10 sentences: |             44.43 |              51.59 |              38.33 |              41.97 |              35.92 |          28.86 |              39.94
           20 sentences: |             58.20 |              60.81 |              42.03 |              50.68 |              44.75 |          27.74 |              43.61
           50 sentences: |             65.39 |              64.98 |              49.84 |              57.13 |              56.57 |          44.62 |              54.17
          100 sentences: |             70.04 |              68.58 |              50.68 |              61.09 |              62.36 |          48.29 |              58.71
          200 sentences: |             72.69 |              70.65 |              55.38 |              60.56 |              63.31 |          57.67 |              60.17
          500 sentences: |             76.21 |              73.51 |              58.25 |              63.31 |              64.77 |          57.72 |              62.09
         1000 sentences: |             78.20 |              75.04 |              56.87 |              64.23 |              64.42 |          60.39 |              62.28
         2000 sentences: |             81.29 |              76.38 |              54.75 |              65.42 |              64.94 |          65.28 |            (61.49)
         4868 sentences: |             83.37 |              78.42 |              57.40 |              66.69 |              66.46 |        (61.32) |            (61.51)
         4868 sentences: |           (83.37) |            (78.42) |              66.73 |            (66.69) |              66.56 |        (62.04) |            (61.97)
             ~ smf sents |              4868 |               1071 |                 64 |                 64 |                 63 |             50 |                 37
                         |                   |                    |                    |                    |                    |                |                   
       Treebank: de-ud12 |               smf |        dlx-de-ud12 |        dlx-sl-ud12 |        dlx-bg-ud12 |        dlx-sv-ud12 |    dlx-hr-ud12 |        dlx-en-ud12
           10 sentences: |             50.59 |              49.86 |              40.29 |              37.50 |              42.81 |          39.33 |              43.11
           20 sentences: |             54.95 |              53.29 |              41.01 |              37.86 |              47.62 |          41.40 |              45.41
           50 sentences: |             58.35 |              54.58 |              51.63 |              43.40 |              54.86 |          48.74 |              50.21
          100 sentences: |             64.24 |              58.43 |              59.42 |              44.48 |              57.52 |          55.80 |              53.14
          200 sentences: |             67.21 |              62.43 |              58.83 |              54.26 |              59.55 |          54.25 |              54.25
          500 sentences: |             71.25 |              66.45 |              61.10 |              56.47 |            (58.91) |          56.52 |              53.69
         1000 sentences: |             73.59 |              67.06 |              61.83 |              57.07 |            (58.24) |          58.21 |              53.96
         2000 sentences: |             79.95 |              73.45 |            (61.03) |              49.72 |            (55.68) |        (56.67) |              53.70
         5000 sentences: |             80.92 |              74.38 |            (60.76) |              53.24 |            (53.71) |        (56.32) |              54.45
        14118 sentences: |             81.59 |              75.36 |            (60.90) |              60.54 |            (53.71) |        (56.32) |              56.99
             ~ smf sents |             14118 |               1278 |                 80 |                 69 |                 60 |             49 |                 38
                         |                   |                    |                    |                    |                    |                |                   
       Treebank: el-ud12 |               smf |        dlx-el-ud12 |        dlx-sl-ud12 |        dlx-hr-ud12 |        dlx-ro-ud12 |    dlx-bg-ud12 |        dlx-de-ud12
           10 sentences: |             58.90 |              58.24 |              47.78 |              45.21 |              41.31 |          36.77 |              49.83
           20 sentences: |             60.36 |              59.53 |              49.60 |              50.08 |              49.67 |          41.10 |              49.37
           50 sentences: |             67.14 |              64.44 |              56.27 |              57.56 |              55.03 |          53.50 |              49.49
          100 sentences: |             70.28 |              68.23 |              59.83 |              61.30 |              61.05 |          56.09 |              50.15
          200 sentences: |             74.95 |              70.35 |              60.13 |              61.12 |            (59.34) |          56.27 |              51.80
          500 sentences: |             77.85 |              74.19 |              60.38 |              62.46 |            (58.67) |          57.15 |              54.01
         1000 sentences: |             80.05 |              74.25 |              61.16 |            (62.39) |            (58.67) |          58.83 |              54.24
         1581 sentences: |                () |                 () |              62.13 |            (61.90) |            (58.67) |          55.30 |              57.13
         1581 sentences: |                () |                 () |              62.60 |            (61.86) |            (58.67) |          56.60 |              57.36
         1581 sentences: |                () |                 () |              63.94 |            (61.86) |            (58.67) |          60.98 |              60.31
             ~ smf sents |              1000 |                185 |                 36 |                 29 |                 23 |             23 |                 20
                         |                   |                    |                    |                    |                    |                |                   
       Treebank: en-ud12 |               smf |        dlx-en-ud12 |        dlx-de-ud12 |        dlx-fr-ud12 |        dlx-sv-ud12 |    dlx-no-ud12 |        dlx-es-ud12
           10 sentences: |             50.50 |              52.57 |              47.31 |              46.77 |              44.58 |          34.31 |              44.77
           20 sentences: |             55.77 |              55.58 |              46.04 |              44.99 |              51.09 |          43.47 |              44.96
           50 sentences: |             66.14 |              62.38 |              48.69 |              47.67 |              54.87 |          50.73 |              46.67
          100 sentences: |             68.92 |              66.91 |              48.40 |              50.06 |              56.51 |          53.14 |              52.33
          200 sentences: |             73.21 |              68.98 |              52.29 |              51.12 |            (56.13) |          55.98 |              51.86
          500 sentences: |             76.92 |              71.70 |              56.17 |              50.01 |            (56.13) |        (54.96) |              48.57
         1000 sentences: |             79.11 |              72.74 |              57.97 |              54.18 |            (56.32) |        (53.89) |              48.27
         2000 sentences: |             81.47 |              74.95 |              59.56 |              54.01 |            (54.86) |        (53.00) |              48.27
         5000 sentences: |             83.85 |              75.58 |              59.67 |              54.87 |            (54.52) |        (54.34) |              48.20
        12543 sentences: |             86.53 |              77.77 |              60.18 |              56.90 |            (54.52) |        (54.65) |              54.03
             ~ smf sents |             12543 |                694 |                 33 |                 23 |                 22 |             21 |                 17
                         |                   |                    |                    |                    |                    |                |                   
       Treebank: es-ud12 |               smf |        dlx-es-ud12 |        dlx-it-ud12 |        dlx-fr-ud12 |        dlx-ro-ud12 |    dlx-bg-ud12 |        dlx-hr-ud12
           10 sentences: |             58.72 |              56.78 |              58.94 |              56.83 |              43.86 |          36.46 |              42.55
           20 sentences: |             60.01 |              58.81 |              59.32 |              58.11 |              54.19 |          40.47 |              49.50
           50 sentences: |             67.74 |              64.04 |              63.59 |              61.47 |              60.41 |          53.17 |              55.57
          100 sentences: |             72.23 |              69.05 |              64.50 |              62.67 |              61.35 |          56.66 |              58.46
          200 sentences: |             74.84 |              69.84 |              67.53 |              64.45 |              62.87 |          57.61 |              60.66
          500 sentences: |             71.31 |              67.43 |              68.19 |              64.40 |              66.84 |          58.07 |              61.77
         1000 sentences: |             72.51 |              67.92 |              70.36 |              67.06 |            (66.84) |          56.89 |              61.97
         2000 sentences: |             74.19 |              68.39 |              71.47 |              66.95 |            (66.84) |          57.22 |              64.85
         5000 sentences: |             76.34 |              71.29 |            (71.34) |              67.31 |            (66.84) |          59.15 |            (64.77)
        14187 sentences: |             86.46 |              78.76 |            (71.40) |              68.34 |            (66.84) |          65.02 |            (64.77)
             ~ smf sents |             14187 |               7197 |                 92 |                 57 |                 47 |             39 |                 39
                         |                   |                    |                    |                    |                    |                |                   
       Treebank: et-ud12 |               smf |        dlx-et-ud12 |        dlx-fi-ud12 |        dlx-hu-ud12 |        dlx-pl-ud12 |    dlx-sv-ud12 |        dlx-da-ud12
           10 sentences: |             68.83 |              70.40 |              48.12 |              53.67 |              56.28 |          38.60 |              56.59
           20 sentences: |             72.29 |              72.49 |              46.87 |              58.90 |              59.52 |          55.03 |              57.64
           50 sentences: |             77.41 |              75.74 |              55.13 |              60.36 |              63.81 |          66.43 |              62.14
          100 sentences: |             78.67 |              80.34 |              67.68 |              67.16 |              62.24 |          68.31 |              62.77
          200 sentences: |             84.63 |              82.33 |              70.72 |              66.53 |              67.47 |          69.04 |              66.43
          500 sentences: |             86.51 |              84.73 |              69.88 |              69.04 |              64.96 |          69.15 |              66.85
         1000 sentences: |             87.77 |              85.15 |              70.51 |              72.18 |              69.04 |          71.03 |              69.04
         1066 sentences: |             88.18 |              85.26 |              75.42 |            (72.18) |              68.42 |        (68.62) |              68.83
         1066 sentences: |           (88.18) |            (85.26) |              76.99 |            (72.18) |              71.97 |        (68.31) |              69.46
         1066 sentences: |           (88.18) |            (85.26) |            (70.09) |            (72.18) |            (71.76) |        (68.31) |            (69.46)
             ~ smf sents |              1066 |                301 |                 48 |                 20 |                 19 |             16 |                 12
                         |                   |                    |                    |                    |                    |                |                   
       Treebank: eu-ud12 |               smf |        dlx-eu-ud12 |        dlx-hu-ud12 |        dlx-hi-ud12 |        dlx-et-ud12 |    dlx-sl-ud12 |     dlx-la-ud12itt
           10 sentences: |             49.71 |              49.80 |              29.75 |              30.09 |              22.05 |          31.05 |              18.53
           20 sentences: |             54.04 |              53.44 |              32.44 |              32.35 |              34.78 |          27.83 |              19.68
           50 sentences: |             59.67 |              56.99 |              33.16 |              41.49 |              43.82 |          34.09 |              26.45
          100 sentences: |             63.39 |              59.91 |              44.53 |              41.57 |            (41.43) |          40.15 |              36.06
          200 sentences: |             66.54 |              63.78 |              43.21 |              44.61 |            (41.39) |          41.39 |              34.34
          500 sentences: |             69.83 |              66.59 |              45.53 |              45.02 |            (41.75) |          42.62 |              34.57
         1000 sentences: |             71.65 |              67.85 |              48.38 |            (44.24) |            (41.54) |          43.50 |              29.04
         2000 sentences: |             73.35 |              68.98 |              49.17 |            (44.33) |            (40.53) |        (40.56) |              31.66
         5000 sentences: |             77.62 |              72.26 |            (49.17) |            (43.69) |            (40.53) |        (42.15) |              39.18
         5396 sentences: |             78.10 |              72.57 |            (49.17) |            (43.79) |            (40.53) |        (42.49) |              43.17
             ~ smf sents |              5396 |               1541 |            USELESS |            USELESS |            USELESS |        USELESS |            USELESS
                         |                   |                    |                    |                    |                    |                |                   
       Treebank: fa-ud12 |               smf |        dlx-fa-ud12 |        dlx-he-ud12 |        dlx-sl-ud12 | dlx-grc-ud12proiel |    dlx-cu-ud12 |       dlx-got-ud12
           10 sentences: |             41.68 |              40.72 |              37.16 |              36.21 |              29.74 |          31.79 |              36.04
           20 sentences: |             55.20 |              50.45 |              40.93 |              38.82 |              30.60 |          34.23 |              37.17
           50 sentences: |             58.99 |              52.11 |              45.14 |              40.87 |              37.88 |          38.66 |              39.05
          100 sentences: |             60.53 |              52.72 |              44.81 |              46.22 |              41.15 |          39.76 |              40.24
          200 sentences: |             61.46 |              54.30 |              50.36 |              48.78 |              44.16 |          44.51 |              44.19
          500 sentences: |             66.36 |              56.35 |            (45.22) |            (47.91) |              44.46 |          47.96 |              47.96
         1000 sentences: |             71.89 |              60.44 |            (44.58) |            (47.64) |              48.17 |        (47.13) |            (44.41)
         2000 sentences: |             78.84 |              67.17 |            (44.46) |            (48.33) |            (46.43) |        (44.38) |            (45.15)
         4798 sentences: |             83.32 |              71.71 |            (42.96) |            (47.46) |            (44.06) |        (43.98) |            (44.27)
         4798 sentences: |           (83.32) |            (71.71) |            (43.15) |            (46.60) |            (44.19) |        (45.15) |            (44.27)
             ~ smf sents |              4798 |                984 |                 16 |                 15 |                 15 |             15 |                 15
                         |                   |                    |                    |                    |                    |                |                   
       Treebank: fi-ud12 |               smf |        dlx-fi-ud12 |     dlx-fi-ud12ftb |        dlx-da-ud12 |        dlx-et-ud12 |    dlx-sv-ud12 |        dlx-no-ud12
           10 sentences: |             33.42 |              32.24 |              26.64 |              35.80 |              37.23 |          31.96 |              25.46
           20 sentences: |             40.26 |              37.34 |              34.55 |              40.66 |              44.21 |          42.00 |              27.06
           50 sentences: |             48.80 |              47.69 |              40.72 |              41.32 |              48.46 |          45.48 |              41.20
          100 sentences: |             56.06 |              54.63 |              41.54 |              42.35 |              51.21 |          45.06 |              47.65
          200 sentences: |             61.24 |              57.97 |              45.60 |              47.59 |              50.85 |          47.63 |              48.87
          500 sentences: |             66.59 |              61.53 |              48.74 |              50.13 |              52.12 |          48.81 |              48.63
         1000 sentences: |             70.04 |              65.66 |              48.48 |              51.19 |            (51.82) |          49.16 |              46.72
         2000 sentences: |             75.04 |              69.38 |              50.21 |              52.87 |            (51.30) |          50.49 |              47.41
         5000 sentences: |             77.34 |              71.33 |              48.39 |            (49.98) |            (51.30) |          51.62 |              49.94
        12217 sentences: |             83.22 |              74.81 |              56.08 |            (49.98) |            (51.30) |        (51.62) |            (49.46)
             ~ smf sents |             12217 |               1954 |                100 |                 78 |                 73 |             69 |                 58
                         |                   |                    |                    |                    |                    |                |                   
    Treebank: fi-ud12ftb |               smf |     dlx-fi-ud12ftb |        dlx-fi-ud12 |        dlx-la-ud12 |        dlx-et-ud12 |   dlx-grc-ud12 |        dlx-no-ud12
           10 sentences: |             31.55 |              39.42 |              33.17 |              43.18 |              35.13 |          35.42 |              24.97
           20 sentences: |             44.41 |              49.36 |              34.73 |              42.90 |              42.44 |          39.73 |              32.00
           50 sentences: |             57.21 |              57.58 |              41.55 |              44.98 |              45.71 |          39.20 |              41.25
          100 sentences: |             63.03 |              58.85 |              46.58 |              46.66 |              47.88 |          44.90 |              45.70
          200 sentences: |             67.85 |              64.03 |              49.00 |              47.40 |              47.58 |          44.16 |              45.88
          500 sentences: |             72.31 |              67.72 |              51.33 |              45.61 |              48.52 |          43.11 |              47.00
         1000 sentences: |             69.87 |              64.74 |              52.61 |              48.77 |            (46.54) |          43.38 |            (45.75)
         2000 sentences: |             73.33 |              67.64 |              54.57 |              49.52 |            (45.95) |          43.98 |            (43.43)
         5000 sentences: |             62.69 |              59.28 |              56.65 |            (48.53) |            (45.95) |          45.24 |            (44.44)
        15034 sentences: |             91.94 |              87.29 |              57.78 |            (48.53) |            (45.95) |          47.42 |            (44.14)
             ~ smf sents |             15034 |              12526 |                 55 |                 32 |                 30 |             27 |                 26
                         |                   |                    |                    |                    |                    |                |                   
       Treebank: fr-ud12 |               smf |        dlx-fr-ud12 |        dlx-es-ud12 |        dlx-it-ud12 |        dlx-bg-ud12 |    dlx-ro-ud12 |        dlx-id-ud12
           10 sentences: |             58.07 |              58.95 |              54.69 |              52.83 |              40.60 |          42.10 |              51.96
           20 sentences: |             61.49 |              60.36 |              55.12 |              53.00 |              43.08 |          51.99 |              55.26
           50 sentences: |             66.72 |              63.83 |              58.13 |              60.98 |              53.70 |          59.71 |              56.09
          100 sentences: |             69.97 |              65.89 |              63.03 |              64.10 |              54.05 |          59.45 |              57.90
          200 sentences: |             72.63 |              67.60 |              64.38 |              64.65 |              55.53 |          60.65 |              61.79
          500 sentences: |             68.69 |              66.41 |              63.36 |              64.41 |              57.09 |          64.37 |              60.04
         1000 sentences: |             77.31 |              70.67 |              63.34 |              65.79 |              56.27 |        (64.37) |              62.67
         2000 sentences: |             79.39 |              72.56 |              62.90 |              66.36 |              54.41 |        (64.37) |              62.15
         5000 sentences: |             80.63 |              73.66 |              62.81 |              67.53 |              56.93 |        (64.37) |              63.36
        14552 sentences: |             82.58 |              77.22 |              68.16 |            (66.09) |              64.54 |        (64.37) |            (63.36)
             ~ smf sents |             14552 |                990 |                 72 |                 62 |                 37 |             37 |                 31
                         |                   |                    |                    |                    |                    |                |                   
       Treebank: ga-ud12 |               smf |        dlx-ga-ud12 |        dlx-he-ud12 |        dlx-ro-ud12 |        dlx-id-ud12 |    dlx-bg-ud12 |        dlx-hr-ud12
           10 sentences: |             58.18 |              55.72 |              52.37 |              51.59 |              49.23 |          38.87 |              44.16
           20 sentences: |             60.38 |              58.31 |              56.53 |              54.52 |              49.08 |          42.40 |              52.03
           50 sentences: |             66.79 |              64.10 |              57.71 |              55.51 |              51.27 |          47.85 |              54.44
          100 sentences: |             69.15 |              65.96 |              57.63 |              53.53 |              53.73 |          50.96 |              55.23
          200 sentences: |             72.26 |              69.75 |              60.67 |              55.57 |              54.44 |          51.17 |              55.04
          500 sentences: |             76.77 |              73.15 |            (59.47) |              58.26 |              54.10 |          48.58 |              54.00
          720 sentences: |             77.39 |              73.83 |            (59.23) |            (58.26) |              56.40 |          49.83 |              53.87
          720 sentences: |           (77.39) |            (73.83) |            (58.55) |            (58.26) |              58.03 |          47.53 |              55.17
          720 sentences: |           (77.39) |            (73.83) |            (57.74) |            (58.26) |            (57.42) |          50.23 |              55.64
          720 sentences: |           (77.39) |            (73.83) |            (58.55) |            (58.26) |            (57.42) |          55.72 |            (55.64)
             ~ smf sents |               720 |                304 |                 21 |                 10 |            USELESS |        USELESS |            USELESS
                         |                   |                    |                    |                    |                    |                |                   
      Treebank: got-ud12 |               smf |       dlx-got-ud12 |        dlx-cu-ud12 | dlx-grc-ud12proiel |  dlx-la-ud12proiel |    dlx-bg-ud12 |       dlx-grc-ud12
           10 sentences: |             53.17 |              52.54 |              57.93 |              36.74 |              41.75 |          37.95 |              38.57
           20 sentences: |             60.28 |              59.02 |              55.34 |              34.77 |              45.82 |          42.44 |              49.21
           50 sentences: |             63.03 |              62.57 |              60.05 |              49.44 |              45.93 |          48.12 |              47.16
          100 sentences: |             67.63 |              65.13 |              61.68 |              61.06 |              48.65 |          51.94 |              51.56
          200 sentences: |             69.20 |              67.80 |              65.19 |              64.60 |              51.07 |          53.28 |              53.36
          500 sentences: |             73.46 |              71.18 |              67.41 |              65.69 |              53.44 |          54.56 |              56.56
         1000 sentences: |             75.40 |              72.98 |              68.36 |              65.26 |              52.47 |          54.52 |              57.37
         2000 sentences: |             78.00 |              75.44 |              69.18 |              66.99 |              53.55 |          57.12 |              57.37
         4360 sentences: |             81.65 |              77.15 |              73.25 |              68.83 |              61.08 |          61.50 |              59.16
         4360 sentences: |           (81.65) |            (77.15) |              73.39 |              69.02 |              66.93 |        (60.82) |            (57.35)
             ~ smf sents |              4360 |               1673 |                495 |                189 |                 92 |             33 |                 18
                         |                   |                    |                    |                    |                    |                |                   
      Treebank: grc-ud12 |               smf |       dlx-grc-ud12 | dlx-grc-ud12proiel |       dlx-got-ud12 |        dlx-la-ud12 |    dlx-sl-ud12 |        dlx-bg-ud12
           10 sentences: |             39.19 |              40.13 |              25.83 |              34.14 |              36.07 |          30.63 |              31.59
           20 sentences: |             45.38 |              46.68 |              28.92 |              38.80 |              38.95 |          33.56 |              34.24
           50 sentences: |             51.10 |              49.54 |              37.75 |              41.67 |              41.21 |          41.86 |              41.88
          100 sentences: |             56.02 |              51.79 |              46.19 |              41.23 |              45.25 |          43.75 |              43.68
          200 sentences: |             60.96 |              57.35 |              48.41 |              45.38 |              44.11 |          42.18 |              43.34
          500 sentences: |             64.62 |              59.29 |              50.40 |              48.52 |              43.90 |          42.58 |              44.14
         1000 sentences: |             67.33 |              62.44 |              50.93 |              51.26 |              50.00 |          44.02 |              44.47
         2000 sentences: |             70.32 |              63.68 |              51.30 |              51.30 |              50.70 |          44.70 |              44.16
         5000 sentences: |             71.72 |              63.40 |              50.61 |              51.82 |            (48.94) |          45.73 |              43.39
        13185 sentences: |             73.17 |              63.70 |              54.39 |            (51.82) |            (48.94) |          46.00 |              45.09
             ~ smf sents |             13185 |                425 |                 83 |                 57 |                 48 |             23 |                 20
                         |                   |                    |                    |                    |                    |                |                   
Treebank: grc-ud12proiel |               smf | dlx-grc-ud12proiel |       dlx-got-ud12 |  dlx-la-ud12proiel |       dlx-grc-ud12 |    dlx-cu-ud12 |        dlx-sl-ud12
           10 sentences: |             30.34 |              38.46 |              42.55 |              34.41 |              34.15 |          42.65 |              31.01
           20 sentences: |             32.17 |              37.35 |              49.73 |              37.75 |              45.98 |          41.02 |              35.92
           50 sentences: |             52.32 |              49.49 |              51.87 |              40.61 |              46.58 |          43.17 |              44.74
          100 sentences: |             60.99 |              59.21 |              55.37 |              43.98 |              50.07 |          43.14 |              48.83
          200 sentences: |             63.03 |              61.46 |              58.95 |              45.23 |              52.65 |          49.04 |              45.83
          500 sentences: |             66.13 |              64.01 |              60.66 |              47.31 |              52.13 |          52.28 |              47.96
         1000 sentences: |             69.04 |              66.17 |              63.04 |              49.07 |              54.09 |          51.79 |              50.39
         2000 sentences: |             71.11 |              67.13 |              65.28 |              48.79 |              55.54 |          50.15 |              51.15
         5000 sentences: |             74.08 |              68.72 |              65.35 |              53.79 |              56.06 |          52.82 |              52.31
        13306 sentences: |             79.29 |              71.59 |            (65.35) |              57.96 |              56.17 |          56.09 |              53.12
             ~ smf sents |             13306 |               2485 |                425 |                 83 |                 72 |             72 |                 55
                         |                   |                    |                    |                    |                    |                |                   
       Treebank: he-ud12 |               smf |        dlx-he-ud12 |        dlx-ro-ud12 |        dlx-id-ud12 |        dlx-es-ud12 |    dlx-bg-ud12 |        dlx-it-ud12
           10 sentences: |             57.84 |              56.40 |              48.03 |              45.41 |              50.15 |          34.53 |              51.42
           20 sentences: |             60.80 |              59.56 |              53.00 |              48.95 |              51.63 |          37.58 |              51.90
           50 sentences: |             65.85 |              65.17 |              55.07 |              52.99 |              52.91 |          45.16 |              51.85
          100 sentences: |             67.25 |              65.22 |              53.15 |              53.72 |              56.57 |          48.10 |              50.88
          200 sentences: |             72.65 |              70.30 |              54.24 |              54.41 |              55.31 |          51.40 |              54.67
          500 sentences: |             75.76 |              72.91 |              59.55 |              55.12 |              53.57 |          51.27 |              54.52
         1000 sentences: |             78.52 |              75.55 |            (59.55) |              54.15 |              53.56 |          50.56 |              56.02
         2000 sentences: |             81.66 |              78.15 |            (59.55) |              56.18 |              52.85 |          47.84 |              56.11
         5000 sentences: |             84.48 |              79.60 |            (59.55) |              57.65 |              56.03 |          51.49 |            (55.06)
         5241 sentences: |           (84.37) |            (79.54) |            (59.55) |            (57.65) |              57.59 |          57.17 |            (55.91)
             ~ smf sents |              5000 |               1344 |                 16 |            USELESS |            USELESS |        USELESS |            USELESS
                         |                   |                    |                    |                    |                    |                |                   
       Treebank: hi-ud12 |               smf |        dlx-hi-ud12 |        dlx-ta-ud12 |        dlx-hu-ud12 |        dlx-et-ud12 | dlx-fi-ud12ftb |        dlx-eu-ud12
           10 sentences: |             52.10 |              53.24 |              41.34 |              35.07 |              29.16 |          29.04 |              36.35
           20 sentences: |             60.13 |              57.98 |              49.54 |              39.36 |              36.23 |          28.96 |              41.58
           50 sentences: |             67.28 |              65.49 |              61.98 |              51.24 |              45.22 |          29.85 |              40.46
          100 sentences: |             73.63 |              70.51 |              59.78 |              58.32 |              43.61 |          28.83 |              45.13
          200 sentences: |             80.58 |              76.44 |              60.85 |              56.96 |              49.22 |          41.29 |              47.14
          500 sentences: |             83.11 |              78.84 |              64.00 |              56.41 |              50.36 |          49.28 |              48.93
         1000 sentences: |             87.56 |              82.54 |            (64.00) |              58.31 |              50.89 |          50.69 |            (48.63)
         2000 sentences: |             89.84 |              83.90 |            (64.00) |              58.52 |            (50.79) |        (45.77) |            (47.20)
         5000 sentences: |             91.34 |              86.12 |            (64.00) |            (58.52) |            (50.79) |        (44.27) |            (39.65)
        13304 sentences: |             92.92 |              87.54 |            (64.00) |            (58.52) |            (50.79) |        (38.50) |            (40.59)
