        Treebank: ar |         smf |         dlx-ar |    dlx-he-ud11 |      dlx-pl | dlx-id-ud11 | dlx-it-ud11 | dlx-ga-ud11
       10 sentences: |       53.60 |          51.01 |          39.76 |       46.41 |       41.73 |       46.25 |       40.05
       20 sentences: |       55.30 |          52.29 |          44.66 |       47.70 |       42.77 |       46.53 |       39.92
       50 sentences: |       60.28 |          57.87 |          49.45 |       45.81 |       43.85 |     (46.33) |       42.15
      100 sentences: |       63.14 |          59.95 |          46.95 |       47.22 |       45.66 |     (44.35) |       40.49
      200 sentences: |       65.66 |          63.03 |          49.46 |       48.56 |       45.82 |     (44.28) |       41.95
      500 sentences: |       64.00 |          59.51 |          48.86 |     (48.09) |       45.25 |     (46.38) |       44.69
     1000 sentences: |       70.66 |          65.63 |          49.41 |     (48.41) |       45.65 |     (46.26) |       45.69
     2000 sentences: |       72.48 |          66.82 |          49.97 |     (48.17) |       46.90 |     (43.73) |     (45.69)
     5000 sentences: |       74.73 |          69.38 |          50.07 |     (47.38) |       47.89 |     (41.69) |     (45.69)
     6174 sentences: |       75.25 |          70.02 |          50.64 |     (47.99) |     (47.89) |     (43.93) |     (45.69)
         ~ smf sents |        6174 |            936 |        USELESS |     USELESS |     USELESS |     USELESS |     USELESS
                     |             |                |                |             |             |             |            
   Treebank: bg-ud11 |         smf |    dlx-bg-ud11 |    dlx-hr-ud11 | dlx-cs-ud11 |      dlx-es |      dlx-hr |      dlx-sl
       10 sentences: |       50.46 |          48.44 |          52.69 |       57.62 |       59.11 |       57.09 |       49.73
       20 sentences: |       53.71 |          54.08 |          58.78 |       62.83 |       65.00 |       55.46 |       51.61
       50 sentences: |       69.74 |          68.67 |          66.39 |       68.22 |       63.28 |       63.18 |       58.29
      100 sentences: |       72.97 |          71.69 |          69.68 |       68.01 |       71.12 |       66.87 |       67.15
      200 sentences: |       77.88 |          76.17 |          72.29 |       70.61 |       72.82 |       70.19 |       67.57
      500 sentences: |       81.12 |          79.44 |          73.49 |       72.54 |       69.59 |       70.71 |       71.16
     1000 sentences: |       80.10 |          78.44 |          74.39 |       62.50 |       73.19 |       68.70 |       71.57
     2000 sentences: |       83.33 |          81.10 |          75.17 |       73.54 |       73.66 |       61.14 |       71.77
     5000 sentences: |       86.31 |          83.50 |          75.95 |       75.04 |     (73.24) |       72.24 |     (71.77)
     7524 sentences: |       86.67 |          84.66 |        (75.95) |     (73.78) |     (72.77) |     (72.24) |     (71.77)
         ~ smf sents |        7524 |           3339 |            161 |         142 |         114 |          89 |          81
                     |             |                |                |             |             |             |            
        Treebank: bn |         smf |         dlx-bn |         dlx-ja |      dlx-te |      dlx-ru |      dlx-la |      dlx-tr
       10 sentences: |       57.65 |          57.76 |          27.06 |       52.03 |       10.72 |       45.79 |       23.63
       20 sentences: |       64.10 |          66.91 |          24.87 |       52.76 |       12.18 |       49.64 |       30.49
       50 sentences: |       68.37 |          68.27 |          33.82 |       46.94 |       10.51 |       41.73 |       37.36
      100 sentences: |       73.05 |          69.93 |          30.91 |       53.18 |       22.69 |       51.41 |       33.30
      200 sentences: |       76.70 |          72.01 |          29.66 |       42.88 |       44.96 |     (50.16) |       47.77
      500 sentences: |       76.70 |          72.33 |          55.16 |       54.12 |       51.83 |     (43.71) |       51.20
      979 sentences: |       79.09 |          72.64 |          57.55 |     (54.01) |     (46.94) |     (20.50) |     (47.35)
      979 sentences: |     (79.09) |        (72.64) |        (55.16) |     (51.83) |     (47.87) |     (13.43) |     (48.70)
