        Treebank: ar |         smf |         dlx-ar |    dlx-he-ud11 |      dlx-pl | dlx-id-ud11 | dlx-it-ud11 | dlx-ga-ud11
      979 sentences: |     (79.09) |        (72.64) |        (51.72) |     (51.83) |     (50.16) |     (22.17) |     (42.56)
      979 sentences: |     (79.09) |        (72.64) |        (39.86) |     (51.83) |     (47.35) |     (22.17) |     (45.17)
         ~ smf sents |         979 |             96 |        USELESS |     USELESS |     USELESS |     USELESS |     USELESS
                     |             |                |                |             |             |             |            
        Treebank: ca |         smf |         dlx-ca |         dlx-es | dlx-es-ud11 | dlx-it-ud11 | dlx-fr-ud11 | dlx-hr-ud11
       10 sentences: |       61.09 |          63.68 |          62.07 |       57.67 |       59.37 |       59.80 |       44.27
       20 sentences: |       65.58 |          64.94 |          66.90 |       60.04 |       62.27 |       61.17 |       49.91
       50 sentences: |       70.53 |          69.70 |          68.16 |       64.48 |       64.40 |       63.71 |       56.00
      100 sentences: |       75.68 |          74.06 |          75.26 |       68.62 |       67.24 |       66.16 |       58.53
      200 sentences: |       78.93 |          75.83 |          77.78 |       69.31 |       70.21 |       66.74 |       60.71
      500 sentences: |       78.63 |          74.98 |          75.29 |       65.61 |       71.39 |       67.39 |       63.38
     1000 sentences: |       79.62 |          75.75 |          79.80 |       67.18 |       71.42 |       68.63 |       65.48
     2000 sentences: |       80.96 |          76.31 |          80.79 |       69.30 |       72.22 |       69.86 |       67.44
     5000 sentences: |             |                |          82.50 |       70.20 |       72.76 |       70.00 |       67.76
    13200 sentences: |       89.38 |          85.14 |          84.03 |       74.95 |       73.27 |       71.23 |     (67.76)
         ~ smf sents |       13200 |           9066 |           7984 |          93 |          77 |          57 |          33
                     |             |                |                |             |             |             |            
   Treebank: cs-ud11 |         smf |    dlx-cs-ud11 |         dlx-hr |      dlx-sk | dlx-hr-ud11 |      dlx-sl | dlx-bg-ud11
       10 sentences: |       48.80 |          48.91 |          47.32 |       42.42 |       44.26 |       46.71 |       37.83
       20 sentences: |       55.02 |          54.90 |          48.74 |       47.89 |       49.26 |       48.56 |       40.48
       50 sentences: |       62.06 |          59.62 |          54.73 |       52.06 |       55.97 |       55.28 |       50.99
      100 sentences: |       65.97 |          62.14 |          58.20 |       53.60 |       58.36 |       59.82 |       53.92
      200 sentences: |       69.04 |          65.46 |          60.49 |       58.61 |       60.19 |       60.46 |       58.02
      500 sentences: |       72.68 |          68.90 |          61.70 |       60.53 |       61.64 |       62.89 |       59.39
     1000 sentences: |       71.85 |          62.32 |          62.40 |       60.19 |       63.27 |       62.76 |       59.42
     2000 sentences: |       77.91 |          72.66 |          57.46 |       63.92 |       63.67 |       63.01 |       61.16
     5000 sentences: |       81.04 |          74.80 |          64.79 |       64.78 |       64.05 |     (63.01) |       61.86
    68495 sentences: |       88.18 |          81.07 |        (64.79) |          () |     (64.05) |     (63.01) |       62.25
         ~ smf sents |       68495 |           5267 |             85 |          85 |          75 |          62 |          52
                     |             |                |                |             |             |             |            
   Treebank: da-ud11 |         smf |    dlx-da-ud11 |         dlx-es | dlx-sv-ud11 |      dlx-ca | dlx-bg-ud11 | dlx-fi-ud11
       10 sentences: |       44.11 |          50.69 |          45.66 |       40.95 |       44.49 |       35.69 |       28.25
       20 sentences: |       57.49 |          58.21 |          52.89 |       46.66 |       44.38 |       39.09 |       28.30
       50 sentences: |       64.56 |          64.10 |          49.10 |       52.60 |       48.26 |       45.53 |       42.45
      100 sentences: |       69.08 |          68.48 |          55.71 |       56.36 |       54.45 |       48.33 |       45.37
      200 sentences: |       73.45 |          70.94 |          57.63 |       56.05 |       53.66 |       52.82 |       52.93
      500 sentences: |       77.07 |          73.98 |          55.59 |       58.89 |       53.35 |       54.23 |       53.17
     1000 sentences: |       79.17 |          75.35 |          59.23 |       59.18 |       54.05 |       52.81 |       56.09
     2000 sentences: |       81.94 |          78.23 |          59.18 |       58.04 |       53.94 |       57.52 |       57.75
     4868 sentences: |       83.53 |        (78.03) |          60.92 |       59.66 |             |       58.86 |     (56.28)
     4868 sentences: |     (83.53) |        (78.03) |          61.76 |     (59.66) |       59.45 |     (58.40) |     (55.97)
         ~ smf sents |        4868 |            776 |             38 |          29 |          28 |          26 |          21
                     |             |                |                |             |             |             |            
        Treebank: de |         smf |         dlx-de |    dlx-de-ud11 |      dlx-nl |      dlx-hr | dlx-bg-ud11 | dlx-cs-ud11
       10 sentences: |       58.94 |          60.79 |          50.71 |       51.72 |       44.31 |       40.15 |       45.33
       20 sentences: |       62.08 |          63.13 |          49.45 |       51.99 |       45.30 |       42.84 |       45.75
       50 sentences: |       66.41 |          65.30 |          50.94 |       52.35 |       52.10 |       52.20 |       51.85
      100 sentences: |       69.81 |          68.39 |          53.49 |       52.64 |       53.38 |       54.69 |       52.84
      200 sentences: |       72.28 |          71.39 |          55.58 |       55.97 |       56.01 |       57.57 |       56.20
      500 sentences: |       77.10 |          75.37 |          58.09 |       57.07 |       58.49 |       58.22 |       56.76
     1000 sentences: |       77.32 |          74.73 |          57.63 |       58.66 |       58.00 |       58.50 |       52.29
     2000 sentences: |       82.50 |          79.38 |          62.21 |       58.87 |       53.01 |       59.07 |       56.79
     5000 sentences: |       84.37 |          81.07 |          64.02 |       61.91 |       59.71 |       59.57 |       59.04
    36020 sentences: |       88.87 |          83.92 |          66.91 |     (61.87) |     (59.71) |     (59.52) |       59.19
         ~ smf sents |       36020 |           4278 |             57 |          19 |          12 |          12 |          11
                     |             |                |                |             |             |             |            
   Treebank: de-ud11 |         smf |    dlx-de-ud11 |    dlx-sv-ud11 | dlx-hr-ud11 | dlx-bg-ud11 |      dlx-de |      dlx-hr
       10 sentences: |       50.67 |          50.01 |          41.96 |       41.83 |       37.59 |       47.16 |       43.88
       20 sentences: |       54.91 |          53.40 |          46.22 |       43.07 |       36.39 |       48.36 |       45.49
       50 sentences: |       58.24 |          54.52 |          54.48 |       48.50 |       42.07 |       52.99 |       47.95
      100 sentences: |       64.25 |          58.38 |          57.34 |       54.11 |       44.26 |       54.61 |       52.99
      200 sentences: |       67.28 |          62.45 |          59.96 |       54.07 |       54.60 |       55.19 |       56.94
      500 sentences: |       71.20 |          66.41 |        (58.88) |       56.26 |       56.85 |       57.61 |       57.69
     1000 sentences: |       73.56 |          67.04 |        (57.48) |       58.68 |       56.43 |       55.91 |     (55.61)
     2000 sentences: |       79.95 |          73.43 |        (50.78) |     (56.34) |       54.98 |       57.96 |     (51.83)
     5000 sentences: |       80.89 |          74.46 |        (47.56) |     (57.71) |       57.14 |     (56.88) |     (57.58)
    14118 sentences: |       81.58 |          75.29 |        (47.56) |     (57.71) |       58.59 |     (51.85) |     (57.58)
         ~ smf sents |       14118 |           1271 |             64 |          54 |          53 |          47 |          45
                     |             |                |                |             |             |             |            
   Treebank: el-ud11 |         smf |    dlx-el-ud11 |    dlx-hr-ud11 |      dlx-hr |      dlx-sk | dlx-bg-ud11 |      dlx-pl
       10 sentences: |       59.50 |          59.30 |          45.79 |       49.86 |       40.12 |       36.91 |       39.49
       20 sentences: |       61.98 |          61.31 |          48.40 |       49.32 |       46.67 |       40.39 |       47.18
       50 sentences: |       68.04 |          65.48 |          57.27 |       55.19 |       51.43 |       54.57 |       42.54
      100 sentences: |       71.14 |          68.18 |          61.00 |       59.13 |       51.24 |       54.06 |       50.11
      200 sentences: |       74.71 |          71.78 |          61.47 |       60.56 |       53.99 |       58.12 |       56.32
      500 sentences: |       78.78 |          74.02 |          62.04 |       61.35 |       59.14 |       58.16 |       57.54
     1000 sentences: |       79.89 |          74.99 |          62.41 |       60.59 |       55.54 |       59.13 |       58.61
     1929 sentences: |          () |             () |          62.37 |       57.82 |       60.54 |       58.54 |       59.11
     1929 sentences: |          () |             () |          63.36 |       63.22 |     (59.80) |       59.60 |       59.39
     1929 sentences: |          () |             () |        (63.36) |     (63.22) |     (59.55) |     (59.25) |     (58.63)
         ~ smf sents |        1000 |            221 |             27 |          26 |          14 |          10 |     USELESS
                     |             |                |                |             |             |             |            
        Treebank: en |         smf |         dlx-en |    dlx-en-ud11 | dlx-de-ud11 | dlx-sv-ud11 |      dlx-hr | dlx-fr-ud11
       10 sentences: |       50.63 |          50.81 |          44.46 |       43.26 |       36.54 |       41.88 |       36.26
       20 sentences: |       59.77 |          59.05 |          47.60 |       41.42 |       42.92 |       41.22 |       38.78
       50 sentences: |       62.43 |          62.73 |          54.71 |       42.94 |       46.82 |       41.86 |       42.92
      100 sentences: |       67.46 |          65.17 |          56.49 |       44.86 |       49.54 |       43.66 |       43.94
      200 sentences: |       72.10 |          68.24 |          60.67 |       44.54 |       51.27 |       43.34 |       48.08
      500 sentences: |       73.70 |          68.30 |          61.05 |       47.22 |     (47.24) |       48.46 |       48.04
     1000 sentences: |       75.78 |          69.30 |          61.95 |       48.54 |     (43.74) |       48.48 |       48.72
     2000 sentences: |       77.02 |          71.48 |          63.95 |       52.41 |     (41.42) |       45.90 |       47.38
     5000 sentences: |       84.43 |          78.18 |        (61.25) |     (51.45) |     (40.02) |       51.23 |       48.94
    18200 sentences: |       86.15 |          79.86 |        (62.31) |     (50.57) |     (40.02) |     (51.23) |       51.15
         ~ smf sents |       18200 |           3150 |             65 |          12 |          11 |          11 |          11
                     |             |                |                |             |             |             |            
   Treebank: en-ud11 |         smf |    dlx-en-ud11 |         dlx-en | dlx-es-ud11 | dlx-fr-ud11 | dlx-de-ud11 |      dlx-hr
       10 sentences: |       50.83 |          51.77 |          47.87 |       49.72 |       46.93 |       47.54 |       48.51
       20 sentences: |       55.75 |          55.66 |          55.40 |       49.61 |       47.53 |       45.94 |       47.95
       50 sentences: |       65.88 |          63.24 |          58.49 |       52.09 |       49.63 |       48.90 |       48.89
      100 sentences: |       68.83 |          66.25 |          61.26 |       55.86 |       53.58 |       48.34 |       51.32
      200 sentences: |       72.84 |          68.37 |          60.94 |       54.97 |       55.52 |       52.33 |       52.13
      500 sentences: |       76.71 |          70.82 |          61.44 |       51.14 |       57.09 |       56.09 |       55.55
     1000 sentences: |       78.44 |          72.68 |          61.82 |       51.12 |       56.70 |       57.95 |       56.60
     2000 sentences: |       80.93 |          74.20 |          62.03 |       52.80 |       57.47 |       59.37 |       49.90
     5000 sentences: |       83.70 |          74.91 |          64.11 |       55.53 |       58.25 |       59.64 |       58.36
    12543 sentences: |       86.41 |          78.14 |          64.60 |       60.16 |       60.08 |       59.87 |     (58.36)
         ~ smf sents |       12543 |            913 |             46 |          33 |          33 |          32 |          28
                     |             |                |                |             |             |             |            
        Treebank: es |         smf |         dlx-es |         dlx-ca | dlx-es-ud11 | dlx-it-ud11 | dlx-fr-ud11 | dlx-hr-ud11
       10 sentences: |       62.55 |          63.13 |          60.93 |       56.90 |       58.43 |       57.81 |       44.30
       20 sentences: |       66.69 |          68.26 |          62.13 |       58.49 |       60.78 |       58.19 |       48.46
       50 sentences: |       69.99 |          68.58 |          66.86 |       62.41 |       62.48 |       60.98 |       54.69
      100 sentences: |       75.28 |          74.03 |          70.87 |       66.38 |       64.23 |       63.51 |       57.88
      200 sentences: |       78.08 |          76.81 |          72.44 |       67.24 |       66.79 |       64.55 |       59.96
      500 sentences: |       76.45 |          74.36 |          72.07 |       63.95 |       68.28 |       64.13 |       61.88
     1000 sentences: |       83.06 |          79.63 |          72.78 |       65.19 |       68.48 |       66.22 |       63.83
     2000 sentences: |       84.84 |          80.78 |          72.97 |       67.07 |       69.40 |       66.72 |       65.12
     5000 sentences: |       87.40 |          82.96 |                |       67.42 |       69.80 |       67.39 |       65.97
    14329 sentences: |       88.84 |          84.44 |          82.14 |       73.07 |       70.73 |       68.73 |     (65.97)
         ~ smf sents |       14329 |           1775 |            907 |          79 |          57 |          39 |          18
                     |             |                |                |             |             |             |            
   Treebank: es-ud11 |         smf |    dlx-es-ud11 |    dlx-fr-ud11 | dlx-it-ud11 |      dlx-ca |      dlx-es |      dlx-hr
       10 sentences: |       58.05 |          57.83 |          57.07 |       53.10 |       56.66 |       55.44 |       51.77
       20 sentences: |       60.99 |          60.71 |          59.01 |       55.49 |       57.51 |       57.53 |       53.96
       50 sentences: |       67.65 |          64.26 |          61.33 |       56.68 |       58.31 |       56.61 |       54.19
      100 sentences: |       71.54 |          68.49 |          63.22 |       60.23 |       65.26 |       63.99 |       60.35
      200 sentences: |       73.74 |          69.27 |          65.34 |       63.32 |       64.01 |       64.82 |       61.28
      500 sentences: |       70.11 |          66.38 |          65.57 |       64.41 |       63.96 |       63.86 |       62.96
     1000 sentences: |       71.74 |          67.76 |          67.61 |       63.94 |       63.76 |       65.71 |       62.15
     2000 sentences: |       73.19 |          70.04 |          68.73 |       65.37 |       65.14 |       65.78 |       59.55
     5000 sentences: |       76.01 |          71.65 |          70.00 |       66.14 |             |     (63.61) |       63.88
    14137 sentences: |       85.39 |          78.63 |        (69.61) |       66.23 |       66.01 |     (65.27) |     (63.88)
         ~ smf sents |       14137 |           7552 |             80 |          44 |          43 |          42 |          33
                     |             |                |                |             |             |             |            
        Treebank: et |         smf |         dlx-et |    dlx-fi-ud11 |      dlx-de | dlx-hu-ud11 |      dlx-pl | dlx-sv-ud11
       10 sentences: |       69.67 |          70.40 |          50.74 |       51.57 |       48.02 |       51.78 |       41.01
       20 sentences: |       70.19 |          72.39 |          48.96 |       59.94 |       58.79 |       60.26 |       56.91
       50 sentences: |       75.74 |          75.63 |          57.75 |       63.71 |       60.99 |       62.98 |       65.28
      100 sentences: |       78.88 |          78.04 |          69.04 |       65.90 |       68.52 |       59.42 |       65.17
      200 sentences: |       85.15 |          80.44 |          71.76 |       66.11 |             |       66.64 |       67.47
      500 sentences: |       85.78 |          83.79 |          68.94 |       68.42 |       66.95 |       65.59 |       69.46
     1000 sentences: |       87.77 |          86.20 |          65.90 |       68.21 |       71.45 |       67.89 |       70.51
     1066 sentences: |       88.29 |        (85.47) |          72.08 |       72.70 |       71.76 |       67.37 |     (68.83)
     1066 sentences: |     (88.29) |        (85.47) |          76.26 |     (72.08) |     (71.76) |       71.24 |     (67.89)
     1066 sentences: |     (88.29) |        (85.47) |        (64.34) |     (68.42) |     (71.76) |     (70.51) |     (67.89)
         ~ smf sents |        1066 |            606 |             58 |          34 |          28 |          26 |          22
                     |             |                |                |             |             |             |            
   Treebank: eu-ud11 |         smf |    dlx-eu-ud11 |    dlx-hu-ud11 |      dlx-et |      dlx-sk | dlx-hr-ud11 |      dlx-pl
       10 sentences: |       53.17 |          53.87 |          31.35 |       25.17 |       22.14 |       33.40 |       19.17
       20 sentences: |       58.77 |          57.54 |          33.66 |       41.08 |       35.84 |       36.04 |       27.39
       50 sentences: |       66.13 |          62.89 |          33.06 |       44.75 |       30.83 |       40.16 |       24.50
      100 sentences: |       67.72 |          64.63 |          46.57 |       44.88 |       37.32 |       40.16 |       28.74
      200 sentences: |       71.75 |          68.94 |                |       44.05 |       44.81 |       39.27 |       36.47
      500 sentences: |       75.30 |          72.17 |          48.28 |       45.06 |     (43.19) |       40.14 |       39.59
     1000 sentences: |       76.98 |          73.36 |          48.72 |       45.49 |     (32.98) |       44.37 |       43.93
     2000 sentences: |       79.35 |          75.69 |          49.46 |     (44.28) |     (43.23) |     (43.28) |     (42.89)
     3164 sentences: |       80.98 |          76.86 |        (49.46) |     (44.28) |     (44.19) |     (44.11) |     (40.80)
     3164 sentences: |     (80.98) |        (76.86) |        (49.46) |     (44.28) |     (37.68) |     (44.11) |     (40.75)
         ~ smf sents |        3164 |            964 |        USELESS |     USELESS |     USELESS |     USELESS |     USELESS
                     |             |                |                |             |             |             |            
        Treebank: fa |         smf |         dlx-fa |    dlx-es-ud11 | dlx-id-ud11 |      dlx-pt | dlx-fr-ud11 | dlx-he-ud11
       10 sentences: |       47.39 |          41.91 |          25.33 |       33.81 |       24.82 |       30.54 |       27.61
       20 sentences: |       52.74 |          47.53 |          27.66 |       35.98 |       27.76 |       31.97 |       32.47
       50 sentences: |       59.27 |          51.87 |          28.10 |       36.66 |       27.78 |       29.76 |       34.56
      100 sentences: |       62.54 |          52.02 |          32.65 |     (36.26) |       31.39 |       31.03 |       34.59
      200 sentences: |       66.90 |          56.59 |          35.71 |     (36.52) |       31.15 |       30.69 |       36.04
      500 sentences: |       70.58 |          59.52 |          31.73 |     (35.22) |       31.29 |       31.09 |     (35.77)
     1000 sentences: |       72.32 |          61.94 |          33.00 |     (35.23) |       32.50 |       32.20 |     (35.10)
     2000 sentences: |       73.50 |          62.63 |          33.90 |     (32.68) |       33.86 |       31.68 |     (34.83)
     5000 sentences: |       75.21 |          64.99 |          35.07 |     (35.56) |       34.77 |       33.75 |     (33.08)
    11800 sentences: |       78.85 |          69.52 |          37.46 |     (35.56) |       36.56 |       36.52 |     (32.72)
         ~ smf sents |       11800 |            414 |        USELESS |     USELESS |     USELESS |     USELESS |     USELESS
                     |             |                |                |             |             |             |            
   Treebank: fa-ud11 |         smf |    dlx-fa-ud11 |    dlx-he-ud11 |      dlx-es | dlx-id-ud11 |      dlx-hr | dlx-hr-ud11
       10 sentences: |       41.68 |          41.24 |          34.00 |       40.08 |       36.98 |       30.22 |       29.56
       20 sentences: |       55.79 |          52.03 |          39.74 |       36.73 |       38.07 |       33.50 |       37.17
       50 sentences: |       61.38 |          55.70 |          43.57 |       37.55 |       41.36 |       40.21 |       43.48
      100 sentences: |       61.28 |          55.14 |          42.38 |       43.09 |       41.56 |       42.48 |       43.91
      200 sentences: |       62.99 |          56.13 |          49.17 |       48.13 |       44.65 |       47.17 |       46.99
      500 sentences: |       68.02 |          59.62 |        (47.23) |     (44.61) |       41.75 |     (44.99) |     (46.77)
     1000 sentences: |       74.48 |          62.85 |        (46.17) |     (44.81) |       45.67 |     (45.13) |     (45.79)
     2000 sentences: |       80.68 |          69.95 |        (45.65) |     (43.98) |       46.93 |     (42.59) |     (45.68)
     4800 sentences: |       84.40 |          73.14 |        (45.24) |     (45.74) |       47.79 |     (43.14) |     (46.67)
     4800 sentences: |     (84.40) |        (73.14) |        (45.64) |     (46.30) |     (47.79) |     (43.14) |     (46.67)
         ~ smf sents |        4800 |            896 |             15 |          15 |          14 |          14 |          14
                     |             |                |                |             |             |             |            
   Treebank: fi-ud11 |         smf |    dlx-fi-ud11 | dlx-fi-ud11ftb |      dlx-et | dlx-hu-ud11 | dlx-da-ud11 | dlx-sv-ud11
       10 sentences: |       33.60 |          32.94 |          18.75 |       37.82 |       38.83 |       36.46 |       34.51
       20 sentences: |       40.66 |          37.95 |          30.95 |       45.44 |       39.90 |       40.15 |       40.14
       50 sentences: |       49.11 |          49.40 |          34.44 |       48.50 |       42.43 |       41.55 |       45.08
      100 sentences: |       56.78 |          55.14 |          38.37 |       51.53 |       46.58 |       43.48 |       44.85
      200 sentences: |       61.84 |          58.46 |          40.91 |       52.41 |             |       49.38 |       47.92
      500 sentences: |       66.81 |          61.67 |          47.11 |       52.66 |       49.39 |       49.84 |       47.41
     1000 sentences: |       71.19 |          66.20 |          50.75 |       52.90 |       50.75 |       48.44 |       47.01
     2000 sentences: |       75.02 |          68.92 |          54.98 |     (52.84) |       50.84 |       50.39 |       45.21
     5000 sentences: |       78.33 |          70.87 |          55.87 |     (52.84) |     (50.84) |     (49.98) |       48.08
    12217 sentences: |       83.76 |          76.22 |          57.14 |     (52.84) |     (50.84) |     (49.98) |     (48.08)
         ~ smf sents |       12217 |           3088 |            107 |          75 |          61 |          58 |          46
                     |             |                |                |             |             |             |            
Treebank: fi-ud11ftb |         smf | dlx-fi-ud11ftb |    dlx-fi-ud11 |      dlx-et |      dlx-de | dlx-hu-ud11 | dlx-sv-ud11
       10 sentences: |       27.17 |          33.79 |          34.05 |       36.27 |       34.60 |       36.74 |       33.85
       20 sentences: |       42.11 |          45.43 |          35.87 |       44.00 |       37.36 |       40.59 |       38.29
       50 sentences: |       46.89 |          51.25 |          42.15 |       44.95 |       40.52 |       43.28 |       41.64
      100 sentences: |       57.12 |          56.24 |          47.60 |       48.64 |       40.64 |       44.98 |       42.25
      200 sentences: |       61.39 |          58.84 |          49.92 |       47.73 |       40.72 |             |       46.48
      500 sentences: |       68.21 |          64.43 |          51.63 |       48.79 |       44.84 |       46.55 |     (44.64)
     1000 sentences: |       73.68 |          69.81 |          53.47 |     (47.65) |       44.61 |       47.05 |     (44.76)
     2000 sentences: |       76.83 |          72.30 |          55.15 |     (46.73) |       46.06 |       47.08 |     (42.99)
     5000 sentences: |       81.06 |          75.16 |          57.10 |     (46.73) |       45.53 |     (47.08) |     (45.10)
    11459 sentences: |       85.18 |          77.89 |          58.53 |     (46.73) |       48.19 |     (47.08) |     (45.10)
         ~ smf sents |       11459 |           2752 |            133 |          59 |          56 |          51 |          47
                     |             |                |                |             |             |             |            
   Treebank: fr-ud11 |         smf |    dlx-fr-ud11 |    dlx-es-ud11 | dlx-it-ud11 |      dlx-ca |      dlx-es | dlx-en-ud11
       10 sentences: |       57.22 |          58.02 |          58.67 |       49.50 |       55.87 |       55.07 |       50.55
       20 sentences: |       59.84 |          59.43 |          60.07 |       52.40 |       57.13 |       57.37 |       54.67
       50 sentences: |       65.24 |          62.39 |          61.84 |       57.58 |       58.97 |       56.71 |       59.96
      100 sentences: |       68.55 |          65.49 |          64.96 |       61.19 |       63.12 |       63.26 |       60.00
      200 sentences: |       71.85 |          66.99 |          66.54 |       63.21 |       62.78 |       62.99 |       61.02
      500 sentences: |       67.50 |          67.32 |          62.64 |       63.02 |       62.56 |       62.32 |       61.37
     1000 sentences: |       76.43 |          69.93 |          64.28 |       63.33 |       62.84 |       63.67 |     (60.44)
     2000 sentences: |       78.31 |          72.08 |          64.99 |       65.14 |       62.92 |       64.28 |     (60.20)
     5000 sentences: |       79.93 |          73.43 |          66.82 |       66.10 |             |       64.29 |     (60.44)
    14551 sentences: |       81.75 |          75.54 |          71.44 |     (65.23) |       65.49 |       64.53 |     (59.86)
         ~ smf sents |       14551 |            903 |            188 |          63 |          54 |          46 |          28
                     |             |                |                |             |             |             |            
   Treebank: ga-ud11 |         smf |    dlx-ga-ud11 |    dlx-he-ud11 | dlx-es-ud11 | dlx-id-ud11 | dlx-bg-ud11 |      dlx-ca
       10 sentences: |       57.63 |          53.53 |          49.83 |       50.70 |       49.65 |       39.37 |       51.09
       20 sentences: |       60.41 |          55.91 |          57.03 |       50.93 |       49.60 |       45.36 |       49.52
       50 sentences: |       64.70 |          58.79 |          57.66 |       49.63 |       51.90 |       52.11 |       50.33
      100 sentences: |       68.60 |          62.16 |          57.95 |       53.45 |       53.68 |       52.90 |       55.20
      200 sentences: |       71.90 |          64.39 |          60.07 |       52.01 |       54.94 |       51.93 |       53.55
      500 sentences: |       76.24 |          69.15 |        (59.07) |       52.16 |       53.92 |       48.74 |       56.22
      720 sentences: |       76.90 |        (68.55) |        (57.66) |       52.98 |       56.59 |       47.79 |       54.57
      720 sentences: |     (76.90) |        (68.55) |        (58.52) |       50.67 |       57.58 |       45.39 |       56.46
      720 sentences: |     (76.90) |        (68.55) |        (56.30) |       55.02 |       58.16 |       50.38 |          ()
      720 sentences: |     (76.90) |        (68.55) |        (56.38) |       59.10 |     (58.16) |       56.64 |     (56.43)
         ~ smf sents |         720 |            117 |             19 |          15 |          12 |     USELESS |     USELESS
                     |             |                |                |             |             |             |            
       Treebank: grc |         smf |        dlx-grc |         dlx-pl | dlx-bg-ud11 |      dlx-la |      dlx-de | dlx-hr-ud11
       10 sentences: |       35.39 |          36.83 |          31.74 |       38.23 |       36.40 |       35.14 |       36.55
       20 sentences: |       45.16 |          44.40 |          36.08 |       38.57 |       40.23 |       40.33 |       37.79
       50 sentences: |       48.28 |          46.37 |          36.40 |       44.00 |       41.26 |       41.71 |       39.31
      100 sentences: |       49.06 |          47.76 |          40.65 |       44.74 |       43.66 |       41.47 |       40.73
      200 sentences: |       53.16 |          51.04 |          44.50 |       45.34 |       42.52 |       43.56 |       41.44
      500 sentences: |       56.01 |          52.33 |          43.79 |       44.23 |       43.47 |       44.00 |       38.68
     1000 sentences: |       58.27 |          55.21 |          43.78 |       45.58 |       43.81 |     (42.23) |       41.88
     2000 sentences: |       59.51 |          55.59 |          45.81 |     (45.14) |       44.50 |     (41.86) |       41.73
     5000 sentences: |       60.86 |          56.12 |          45.71 |     (45.05) |     (44.33) |     (41.96) |       42.60
