        Treebank: ar |     smf |         dlx-ar |         dlx-pl |      dlx-hr |         dlx-la | dlx-it-ud11 |         dlx-es
       10 sentences: |   51.02 |          53.19 |          52.64 |       44.69 |          47.81 |       47.62 |          34.30
       20 sentences: |   56.87 |          56.30 |          58.40 |       49.08 |          50.72 |       50.15 |          44.59
       50 sentences: |   64.58 |          62.69 |          61.09 |       53.98 |                |       53.57 |          48.03
      100 sentences: |   69.53 |          66.99 |          68.56 |       57.44 |          55.74 |       56.29 |          49.19
      200 sentences: |   73.72 |          69.44 |          71.22 |       58.15 |          57.26 |       59.24 |          52.78
      500 sentences: |   71.61 |          66.63 |          67.12 |       54.19 |          55.89 |       60.30 |          51.45
     1000 sentences: |   72.85 |          67.83 |          74.04 |       55.27 |          58.90 |       59.98 |          52.29
     2000 sentences: |   74.51 |          68.72 |          75.11 |       56.86 |          60.20 |       60.60 |          52.50
     5000 sentences: |         |                |          77.23 |       58.15 |          60.82 |       60.91 |          56.51
   100000 sentences: |   87.26 |          81.11 |          79.29 |       63.83 |          62.20 |       61.62 |        (56.31)
         ~ smf sents |  100000 |          54141 |          40569 |          47 |             41 |          38 |             19
                     |         |                |                |             |                |             |               
   Treebank: cs-ud11 |     smf |    dlx-cs-ud11 |         dlx-sk |      dlx-hr |         dlx-sl | dlx-hr-ud11 |         dlx-de
       10 sentences: |   31.86 |          32.60 |          21.44 |       33.12 |          31.72 |       29.92 |          27.89
       20 sentences: |   42.24 |          43.05 |          34.11 |       37.71 |          35.76 |       35.01 |          37.81
       50 sentences: |   52.88 |          51.21 |          40.24 |       45.27 |          45.29 |       43.03 |          42.05
      100 sentences: |   58.24 |          54.85 |          42.74 |       49.26 |          50.87 |       45.80 |          43.80
      200 sentences: |   62.59 |          58.95 |          47.69 |       51.75 |          52.15 |       48.20 |          46.44
      500 sentences: |   66.87 |          62.82 |          50.91 |       49.57 |          54.84 |       49.92 |          48.37
     1000 sentences: |   62.23 |          55.93 |          50.56 |       50.54 |          55.32 |       51.19 |          43.97
     2000 sentences: |   73.06 |          67.51 |          54.91 |       48.73 |          55.75 |       51.74 |          48.55
     5000 sentences: |   76.73 |          70.04 |          55.86 |       56.51 |        (55.75) |       51.97 |          48.82
   100000 sentences: |   85.59 |             () |          58.09 |     (56.51) |        (55.75) |     (51.97) |        (46.36)
         ~ smf sents |  100000 |           1511 |             99 |          84 |             77 |          47 |             39
                     |         |                |                |             |                |             |               
   Treebank: da-ud11 |     smf |    dlx-da-ud11 |         dlx-es |      dlx-ca |    dlx-sv-ud11 | dlx-en-ud11 |         dlx-en
       10 sentences: |   30.47 |          34.95 |          28.68 |       28.29 |          25.28 |       31.07 |          30.23
       20 sentences: |   44.74 |          45.53 |          37.39 |       30.68 |          29.86 |       33.96 |          37.15
       50 sentences: |   56.11 |          54.96 |          37.45 |       34.42 |          38.54 |       40.74 |          40.83
      100 sentences: |   62.39 |          60.92 |          43.51 |       40.23 |          42.98 |       43.68 |          42.64
      200 sentences: |   67.40 |          63.62 |          45.25 |       40.03 |          43.02 |       45.12 |          42.35
      500 sentences: |   72.37 |          67.86 |          39.99 |       37.72 |          45.46 |       44.52 |          40.18
     1000 sentences: |   74.95 |          68.77 |          45.46 |       37.80 |          45.85 |       44.90 |          40.79
     2000 sentences: |   78.47 |          71.93 |          45.77 |       38.44 |          45.99 |       46.16 |          42.06
     5000 sentences: |   80.49 |          73.62 |          47.01 |             |          46.72 |     (44.35) |          45.54
   100000 sentences: | (80.49) |        (73.62) |          48.38 |       46.74 |        (46.72) |     (44.42) |        (45.10)
         ~ smf sents |    5000 |            742 |             30 |          25 |             25 |          24 |             22
                     |         |                |                |             |                |             |               
        Treebank: de |     smf |         dlx-de |    dlx-de-ud11 |      dlx-nl |    dlx-cs-ud11 |      dlx-sl |         dlx-hr
       10 sentences: |   45.36 |          47.88 |          37.36 |       36.75 |          23.06 |       22.38 |          27.36
       20 sentences: |   54.20 |          56.38 |          38.34 |       41.56 |          31.19 |       27.91 |          32.23
       50 sentences: |   61.56 |          60.55 |          41.02 |       42.15 |          43.17 |       40.07 |          40.79
      100 sentences: |   66.21 |          64.14 |          44.21 |       42.48 |          45.00 |       47.82 |          43.89
      200 sentences: |   68.79 |          67.08 |          46.73 |       45.91 |          50.14 |       48.47 |          46.87
      500 sentences: |   74.48 |          72.33 |          49.16 |       49.42 |          50.88 |       51.68 |          45.90
     1000 sentences: |   70.33 |          67.84 |          48.18 |       49.89 |          46.35 |       51.77 |          46.38
     2000 sentences: |   80.40 |          76.89 |          52.44 |       47.90 |          50.38 |       52.31 |          44.81
     5000 sentences: |   82.77 |          78.88 |          53.96 |       54.25 |          52.63 |     (52.31) |          51.66
   100000 sentences: |   87.59 |          82.07 |          56.46 |       54.66 |             () |     (52.31) |        (51.66)
         ~ smf sents |  100000 |           4114 |             29 |          22 |             18 |          18 |             17
                     |         |                |                |             |                |             |               
   Treebank: de-ud11 |     smf |    dlx-de-ud11 |    dlx-fr-ud11 | dlx-es-ud11 |         dlx-ca | dlx-sv-ud11 |    dlx-bg-ud11
       10 sentences: |   38.13 |          38.30 |          27.21 |       33.19 |          23.93 |       24.77 |          12.08
       20 sentences: |   44.19 |          43.32 |          33.75 |       35.11 |          26.44 |       27.91 |          10.31
       50 sentences: |   48.58 |          44.76 |          39.15 |       38.51 |          28.93 |       35.62 |          21.51
      100 sentences: |   55.79 |          49.54 |          39.86 |       39.62 |          42.72 |       40.61 |          26.74
      200 sentences: |   59.73 |          54.19 |          39.74 |       40.74 |          43.39 |       45.00 |          36.08
      500 sentences: |   64.05 |          58.07 |          38.01 |       39.36 |          40.31 |     (44.50) |          44.62
     1000 sentences: |   67.18 |          59.18 |          43.20 |       37.89 |          40.45 |     (44.11) |        (41.19)
     2000 sentences: |   74.63 |          65.98 |          43.88 |       38.80 |          40.93 |     (37.68) |        (40.39)
     5000 sentences: |   75.27 |          66.67 |          45.40 |       41.28 |                |     (35.40) |        (41.40)
   100000 sentences: |   76.24 |          67.32 |          46.30 |       46.20 |          46.17 |     (35.40) |        (44.28)
         ~ smf sents |  100000 |           1019 |             34 |          34 |             34 |          26 |             23
                     |         |                |                |             |                |             |               
   Treebank: el-ud11 |     smf |    dlx-el-ud11 |    dlx-hr-ud11 |      dlx-hr |         dlx-sk |      dlx-pl |         dlx-de
       10 sentences: |   48.73 |          48.43 |          23.10 |       25.50 |          15.16 |       20.65 |          33.17
       20 sentences: |   53.97 |          52.95 |          25.20 |       27.00 |          23.49 |       26.10 |          30.49
       50 sentences: |   61.76 |          58.63 |          32.77 |       31.43 |          27.55 |       27.39 |          30.24
      100 sentences: |   66.40 |          62.50 |          36.08 |       35.17 |          28.29 |       31.59 |          32.17
      200 sentences: |   70.38 |          66.38 |          37.58 |       37.09 |          30.93 |       35.20 |          37.02
      500 sentences: |   74.69 |          68.85 |          38.64 |       34.67 |          35.87 |       36.00 |          37.28
     1000 sentences: |   76.06 |          70.21 |          39.68 |       34.14 |          33.30 |       34.50 |        (32.91)
     2000 sentences: |      () |             () |          39.56 |       33.14 |          38.03 |       35.15 |        (35.52)
     5000 sentences: |      () |             () |          39.88 |       39.33 |          38.20 |       38.08 |        (34.66)
   100000 sentences: |      () |             () |        (39.88) |     (39.33) |        (38.20) |     (37.06) |        (32.54)
         ~ smf sents |    1000 |            196 |        USELESS |     USELESS |        USELESS |     USELESS |        USELESS
                     |         |                |                |             |                |             |               
        Treebank: en |     smf |         dlx-en |    dlx-en-ud11 | dlx-fr-ud11 |    dlx-de-ud11 |      dlx-es |         dlx-ca
       10 sentences: |   42.06 |          43.44 |          29.33 |       24.67 |          26.51 |       23.99 |          24.27
       20 sentences: |   54.63 |          53.87 |          32.55 |       28.53 |          26.85 |       29.23 |          27.27
       50 sentences: |   58.09 |          58.63 |          40.26 |       32.33 |          29.19 |       31.57 |          28.63
      100 sentences: |   63.63 |          61.39 |          42.06 |       34.38 |          30.39 |       38.18 |          38.18
      200 sentences: |   69.36 |          65.39 |          45.68 |       36.00 |          32.51 |     (35.78) |        (34.22)
      500 sentences: |   68.44 |          63.33 |          45.44 |       33.36 |          34.24 |     (32.11) |        (31.75)
     1000 sentences: |   71.04 |          64.57 |          45.48 |       36.34 |          34.76 |     (34.56) |        (30.85)
     2000 sentences: |   72.60 |          67.00 |          45.90 |       35.52 |          38.32 |     (34.60) |        (30.33)
     5000 sentences: |   84.07 |          77.04 |        (43.70) |       36.84 |        (36.54) |     (34.16) |             ()
   100000 sentences: |   86.71 |          79.44 |        (45.06) |       38.34 |        (36.36) |     (35.16) |        (34.96)
         ~ smf sents |  100000 |           3789 |             13 |     USELESS |        USELESS |     USELESS |        USELESS
                     |         |                |                |             |                |             |               
   Treebank: en-ud11 |     smf |    dlx-en-ud11 |         dlx-en | dlx-fr-ud11 |    dlx-es-ud11 | dlx-de-ud11 |    dlx-it-ud11
       10 sentences: |   36.75 |          39.29 |          32.72 |       30.99 |          32.33 |       31.30 |          27.52
       20 sentences: |   45.03 |          46.59 |          41.41 |       34.70 |          35.36 |       32.21 |          31.05
       50 sentences: |   59.16 |          56.49 |          45.21 |       38.76 |          38.43 |       35.58 |          36.01
      100 sentences: |   63.44 |          60.60 |          47.64 |       41.58 |          41.89 |       35.89 |          38.92
      200 sentences: |   67.32 |          62.89 |          47.89 |       43.46 |          41.92 |       41.04 |          42.65
      500 sentences: |   72.11 |          65.69 |          44.84 |       40.70 |          37.37 |       44.12 |          42.32
     1000 sentences: |   74.70 |          68.17 |          45.75 |       45.45 |          36.81 |       45.41 |          44.29
     2000 sentences: |   77.55 |          69.93 |          46.21 |       45.75 |          38.36 |       46.60 |          44.96
     5000 sentences: |   80.67 |          70.89 |          51.99 |       46.50 |          41.12 |     (45.06) |          45.20
   100000 sentences: |   84.13 |          74.55 |          52.29 |       48.37 |          46.90 |     (45.78) |        (44.28)
         ~ smf sents |  100000 |            971 |             35 |          27 |             24 |          23 |             20
                     |         |                |                |             |                |             |               
        Treebank: es |     smf |         dlx-es |         dlx-ca | dlx-es-ud11 |    dlx-fr-ud11 | dlx-it-ud11 |         dlx-en
       10 sentences: |   52.53 |          53.37 |          49.90 |       43.56 |          46.16 |       46.68 |          35.19
       20 sentences: |   57.93 |          59.67 |          53.16 |       47.31 |          48.70 |       49.17 |          45.37
       50 sentences: |   63.02 |          61.42 |          59.42 |       51.82 |          52.41 |       51.98 |          47.16
      100 sentences: |   69.08 |          67.10 |          63.39 |       55.63 |          54.18 |       53.31 |          47.82
      200 sentences: |   73.15 |          70.52 |          65.54 |       56.38 |          55.80 |       56.08 |          50.94
      500 sentences: |   69.99 |          66.55 |          63.76 |       53.32 |          54.35 |       57.06 |          49.63
     1000 sentences: |   79.41 |          74.50 |          64.87 |       54.03 |          57.62 |       57.03 |          49.93
     2000 sentences: |   81.62 |          76.16 |          65.49 |       55.50 |          58.29 |       57.74 |          50.62
     5000 sentences: |   84.77 |          78.56 |                |       56.51 |          59.20 |       58.02 |          54.22
   100000 sentences: |   86.74 |          80.40 |          77.52 |       62.51 |          60.63 |       59.09 |          55.03
         ~ smf sents |  100000 |           1448 |            849 |          47 |             36 |          27 |             15
                     |         |                |                |             |                |             |               
   Treebank: es-ud11 |     smf |    dlx-es-ud11 |    dlx-fr-ud11 |      dlx-ca |         dlx-es | dlx-it-ud11 |         dlx-en
       10 sentences: |   47.34 |          46.94 |          44.15 |       42.41 |          41.17 |       39.81 |          36.06
       20 sentences: |   52.48 |          50.75 |          47.15 |       44.41 |          45.53 |       40.13 |          43.52
       50 sentences: |   60.41 |          54.74 |          51.46 |       46.65 |          47.07 |       45.88 |          44.58
      100 sentences: |   64.94 |          59.31 |          52.64 |       53.45 |          53.92 |       49.44 |          47.68
      200 sentences: |   67.57 |          59.99 |          55.56 |       53.16 |        (53.40) |       52.32 |          49.71
      500 sentences: |   64.29 |          57.76 |          54.44 |       50.70 |        (50.59) |       53.14 |          49.17
     1000 sentences: |   66.55 |          58.81 |          58.10 |       50.42 |        (53.64) |     (49.91) |          48.11
     2000 sentences: |   67.99 |          61.02 |          59.05 |       50.82 |        (53.58) |     (51.11) |          49.04
     5000 sentences: |   70.86 |          63.49 |          60.52 |             |        (51.40) |     (51.61) |          50.81
   100000 sentences: |   81.92 |          71.36 |        (60.15) |       54.49 |        (53.52) |     (51.11) |        (50.77)
         ~ smf sents |  100000 |           9295 |             51 |          28 |             25 |          22 |             17
                     |         |                |                |             |                |             |               
        Treebank: et |     smf |         dlx-et |    dlx-fi-ud11 |      dlx-de | dlx-fi-ud11ftb |      dlx-pl |         dlx-sk
       10 sentences: |   45.30 |          46.87 |          38.81 |       37.45 |           3.56 |       34.42 |          29.08
       20 sentences: |   54.08 |          57.22 |          37.35 |       45.51 |          10.78 |       42.58 |          45.93
       50 sentences: |   67.06 |          68.52 |          44.04 |       51.05 |          21.03 |       45.09 |          40.70
      100 sentences: |   72.81 |          72.49 |          54.08 |       50.74 |          29.08 |       47.70 |          47.39
      200 sentences: |   81.91 |          78.14 |          59.11 |       54.40 |          32.01 |       50.42 |          51.47
      500 sentences: |   83.37 |          81.49 |          57.75 |       54.82 |          45.72 |       50.95 |          52.72
     1000 sentences: | (72.81) |        (71.66) |          53.77 |       43.31 |          55.24 |       40.70 |          38.71
     2000 sentences: | (73.85) |        (70.93) |          59.11 |       57.43 |          55.03 |       40.17 |          53.67
     5000 sentences: | (73.85) |        (70.93) |          63.92 |       58.06 |          54.40 |       55.55 |          54.50
   100000 sentences: | (73.85) |        (70.93) |        (53.35) |     (56.07) |          57.75 |     (55.03) |        (50.63)
         ~ smf sents |     500 |            195 |             43 |          29 |             28 |          23 |             21
                     |         |                |                |             |                |             |               
   Treebank: eu-ud11 |     smf |    dlx-eu-ud11 |         dlx-et |      dlx-hr |         dlx-sk |      dlx-en |         dlx-sl
       10 sentences: |   35.17 |          36.42 |          11.64 |       13.37 |           7.70 |       16.58 |          11.43
       20 sentences: |   39.99 |          41.77 |          20.43 |       17.58 |          14.40 |       26.62 |           9.36
       50 sentences: |   52.02 |          50.19 |          26.55 |       24.70 |          11.60 |     (21.93) |          13.27
      100 sentences: |   56.27 |          53.84 |          25.49 |       23.78 |          16.29 |     (21.56) |          15.62
      200 sentences: |   62.63 |          59.99 |          27.65 |       23.24 |          22.40 |     (21.22) |          18.31
      500 sentences: |   67.76 |          63.69 |          30.35 |       18.18 |          22.83 |     (20.47) |          23.47
     1000 sentences: |   70.70 |          65.71 |        (25.91) |       19.58 |          14.80 |     (20.40) |          26.38
     2000 sentences: |   73.67 |          68.82 |        (25.30) |       16.95 |          26.33 |     (21.22) |        (26.32)
     5000 sentences: |   75.68 |          70.09 |        (25.30) |       27.81 |          27.71 |     (24.60) |        (26.32)
   100000 sentences: | (75.68) |        (70.09) |        (25.30) |     (27.81) |        (24.59) |     (26.47) |        (26.32)
         ~ smf sents |    5000 |            896 |        USELESS |     USELESS |        USELESS |     USELESS |        USELESS
                     |         |                |                |             |                |             |               
        Treebank: fa |     smf |         dlx-fa |         dlx-es |      dlx-pt |         dlx-ca | dlx-it-ud11 |    dlx-es-ud11
       10 sentences: |   37.10 |          34.15 |          20.59 |       18.95 |          21.56 |       23.58 |          18.22
       20 sentences: |   44.87 |          40.73 |          20.95 |       20.37 |          22.92 |       26.06 |          20.05
       50 sentences: |   52.93 |          45.61 |          24.95 |       22.11 |          25.39 |       28.34 |          20.96
      100 sentences: |   56.88 |          46.29 |          26.30 |       26.98 |          25.45 |     (28.15) |          26.00
      200 sentences: |   61.57 |          51.35 |          28.43 |       26.82 |          25.34 |     (27.60) |          26.45
      500 sentences: |   65.62 |          54.25 |          28.34 |       26.48 |          26.36 |     (24.86) |          22.82
     1000 sentences: |   67.57 |          56.86 |          28.84 |       26.95 |          27.09 |     (26.21) |          23.07
     2000 sentences: |   68.98 |          57.89 |        (27.97) |       27.99 |          26.78 |     (27.03) |          24.34
     5000 sentences: |   70.77 |          60.49 |        (28.57) |       28.07 |                |     (26.51) |          24.52
   100000 sentences: |   75.00 |          64.93 |        (28.37) |       28.79 |          28.61 |     (26.43) |          27.79
         ~ smf sents |  100000 |            449 |        USELESS |     USELESS |        USELESS |     USELESS |        USELESS
                     |         |                |                |             |                |             |               
   Treebank: fa-ud11 |     smf |    dlx-fa-ud11 |         dlx-es | dlx-es-ud11 |    dlx-he-ud11 |      dlx-ca |    dlx-id-ud11
       10 sentences: |   31.87 |          30.73 |          23.59 |       21.87 |          16.72 |       22.38 |          20.78
       20 sentences: |   46.74 |          43.18 |          23.62 |       23.83 |          18.85 |       23.20 |          22.77
       50 sentences: |   54.75 |          48.83 |          26.30 |       26.82 |          23.78 |       25.05 |          25.29
      100 sentences: |   55.21 |          48.76 |          30.69 |       28.75 |          26.07 |       27.71 |          25.35
      200 sentences: |   57.14 |          49.67 |          32.82 |       30.21 |          31.27 |       27.93 |          28.05
      500 sentences: |   62.71 |          53.09 |        (29.02) |       29.17 |          31.41 |       28.82 |          25.74
     1000 sentences: |   69.73 |          56.60 |        (29.68) |       28.00 |        (31.37) |       28.57 |          28.46
     2000 sentences: |   76.85 |          64.49 |        (29.24) |       28.73 |        (31.27) |       28.30 |          29.50
     5000 sentences: |   81.58 |          68.27 |        (30.36) |       29.48 |        (30.06) |             |          30.18
   100000 sentences: | (81.58) |        (68.27) |        (31.07) |       31.96 |        (30.92) |       31.05 |        (30.18)
         ~ smf sents |    5000 |            896 |             11 |          10 |        USELESS |     USELESS |        USELESS
                     |         |                |                |             |                |             |               
   Treebank: fi-ud11 |     smf |    dlx-fi-ud11 | dlx-fi-ud11ftb |      dlx-et |    dlx-hr-ud11 |      dlx-hr |    dlx-da-ud11
       10 sentences: |   18.47 |          18.95 |           6.19 |       17.27 |          22.18 |       22.06 |          17.39
       20 sentences: |   27.99 |          26.66 |          14.86 |       25.08 |          25.40 |       24.58 |          24.13
       50 sentences: |   37.17 |          38.48 |          18.22 |       31.59 |          29.03 |       28.13 |          26.58
      100 sentences: |   46.55 |          45.53 |          24.11 |       35.89 |          31.79 |       29.59 |          28.63
      200 sentences: |   53.28 |          50.10 |          26.69 |       37.49 |          33.39 |       31.11 |          32.51
      500 sentences: |   59.56 |          54.39 |          32.48 |       37.74 |          34.13 |       29.10 |          33.65
     1000 sentences: |   65.73 |          59.79 |          37.08 |     (34.08) |          33.68 |       29.35 |          33.23
     2000 sentences: |   70.22 |          63.50 |          40.32 |     (34.20) |          34.63 |       26.16 |          33.99
     5000 sentences: |   73.93 |          65.93 |          41.42 |     (34.20) |          35.22 |       34.43 |          34.36
   100000 sentences: |   80.49 |          71.83 |          42.69 |     (34.20) |        (35.22) |     (34.43) |        (34.36)
         ~ smf sents |  100000 |           3302 |             79 |          53 |             44 |          41 |             41
                     |         |                |                |             |                |             |               
Treebank: fi-ud11ftb |     smf | dlx-fi-ud11ftb |    dlx-fi-ud11 |      dlx-et |         dlx-de |      dlx-en |    dlx-de-ud11
       10 sentences: |    9.00 |          12.99 |          18.80 |       19.48 |          17.74 |       20.42 |          21.41
       20 sentences: |   30.21 |          32.77 |          21.81 |       27.62 |          24.65 |       27.30 |          22.19
       50 sentences: |   37.61 |          39.46 |          27.16 |       32.91 |          28.08 |       28.67 |          23.31
      100 sentences: |   48.12 |          47.31 |          32.63 |       36.73 |          28.88 |       29.33 |          24.01
      200 sentences: |   52.88 |          50.69 |          36.06 |       37.27 |          29.17 |       28.46 |          28.03
      500 sentences: |   62.02 |          58.49 |          38.75 |       37.81 |          32.15 |       27.20 |          28.75
     1000 sentences: |   68.45 |          64.28 |          40.63 |     (35.71) |          31.02 |       26.51 |          29.70
     2000 sentences: |   72.28 |          67.39 |          42.21 |     (35.39) |          33.52 |       27.43 |          29.91
     5000 sentences: |   77.52 |          70.91 |          43.81 |     (35.39) |          33.52 |       31.62 |          30.94
   100000 sentences: |   82.43 |          73.95 |          44.69 |     (35.39) |          35.93 |     (30.67) |          31.44
         ~ smf sents |  100000 |           2956 |             84 |          51 |             43 |          26 |             25
                     |         |                |                |             |                |             |               
   Treebank: fr-ud11 |     smf |    dlx-fr-ud11 |    dlx-es-ud11 |      dlx-ca |         dlx-es | dlx-it-ud11 |         dlx-en
       10 sentences: |   44.35 |          44.91 |          44.11 |       41.85 |          41.66 |       36.54 |          34.98
       20 sentences: |   48.75 |          48.39 |          47.33 |       44.55 |          45.94 |       37.60 |          43.84
       50 sentences: |   56.62 |          52.19 |          49.84 |       46.58 |          47.54 |       46.42 |          44.84
      100 sentences: |   60.76 |          55.66 |          53.01 |       51.71 |          53.26 |       49.21 |          47.06
      200 sentences: |   65.28 |          57.99 |          54.22 |       51.44 |        (52.64) |       52.36 |          48.19
      500 sentences: |   61.96 |          56.91 |          50.25 |       49.28 |        (49.46) |     (51.78) |          47.12
     1000 sentences: |   71.57 |          61.68 |          51.55 |       49.19 |        (52.47) |     (48.83) |          47.40
     2000 sentences: |   73.93 |          63.62 |          52.30 |       48.66 |        (52.87) |     (49.66) |          47.81
     5000 sentences: |   75.51 |          65.59 |          55.20 |             |        (52.07) |     (49.79) |          49.98
   100000 sentences: |   77.71 |          68.32 |          60.10 |       54.48 |        (52.74) |     (49.15) |        (49.04)
         ~ smf sents |  100000 |            741 |             92 |          42 |             37 |          34 |             25
                     |         |                |                |             |                |             |               
   Treebank: ga-ud11 |     smf |    dlx-ga-ud11 |    dlx-es-ud11 | dlx-id-ud11 |         dlx-ca |      dlx-es |    dlx-he-ud11
       10 sentences: |   40.47 |          37.69 |          32.61 |       31.57 |          31.65 |       32.38 |          20.81
       20 sentences: |   45.25 |          42.61 |          33.74 |       31.70 |          31.52 |       34.08 |          26.20
       50 sentences: |   54.34 |          46.88 |          33.06 |       36.07 |          33.71 |       32.93 |          28.03
      100 sentences: |   59.75 |          49.55 |          35.73 |       36.46 |          37.27 |       37.72 |          35.28
      200 sentences: |   64.07 |          52.35 |          35.07 |       38.14 |          37.06 |       35.96 |          37.93
      500 sentences: |   69.54 |          58.00 |          34.79 |       37.74 |          37.19 |       35.15 |        (37.40)
     1000 sentences: |   70.72 |        (57.40) |          35.07 |       39.34 |          35.78 |       38.42 |        (36.33)
     2000 sentences: | (70.72) |        (57.40) |          34.11 |       40.78 |          36.93 |       38.45 |        (37.53)
     5000 sentences: | (70.72) |        (57.40) |          36.36 |     (40.23) |                |     (37.67) |        (36.12)
   100000 sentences: | (70.72) |        (57.40) |          40.78 |     (40.23) |          38.90 |     (38.42) |        (36.25)
         ~ smf sents |    1000 |             84 |             11 |          11 |        USELESS |     USELESS |        USELESS
                     |         |                |                |             |                |             |               
       Treebank: grc |     smf |        dlx-grc |         dlx-la |      dlx-pl |         dlx-de | dlx-cs-ud11 |         dlx-sk
       10 sentences: |   21.15 |          22.82 |          19.25 |       16.88 |          18.13 |       16.06 |          18.28
       20 sentences: |   33.59 |          31.96 |          22.14 |       20.18 |          23.56 |       18.60 |          24.82
       50 sentences: |   39.63 |          36.52 |          24.26 |       21.57 |          26.63 |       21.57 |          24.88
      100 sentences: |   41.41 |          38.52 |          29.51 |       24.65 |          27.51 |       21.52 |          26.63
      200 sentences: |   46.32 |          42.35 |          29.77 |       28.09 |          28.63 |       26.33 |          26.58
      500 sentences: |   50.50 |          43.88 |          30.73 |       28.40 |          29.59 |       24.80 |          28.36
     1000 sentences: |   53.98 |          47.21 |          32.14 |       25.69 |        (25.24) |       20.09 |          24.82
     2000 sentences: |   55.96 |          48.42 |          32.70 |       26.63 |        (28.78) |       25.94 |          28.04
     5000 sentences: |   58.20 |          48.70 |        (32.03) |       30.46 |        (28.93) |       29.34 |          27.07
   100000 sentences: |   59.17 |          49.36 |        (32.03) |       31.17 |        (29.46) |          () |          28.78
         ~ smf sents |  100000 |            418 |             19 |          18 |             17 |          17 |             16
                     |         |                |                |             |                |             |               
