        Treebank: ar |     smf |         dlx-ar |         dlx-pl |      dlx-hr |         dlx-la | dlx-it-ud11 |         dlx-es
       10 sentences: |   45.65 |          43.47 |          31.98 |       23.87 |                |       32.85 |          32.36
       20 sentences: |   48.90 |          46.59 |          34.33 |       26.70 |          24.18 |       37.24 |          30.47
       50 sentences: |   56.55 |          53.60 |          35.35 |       32.57 |          26.65 |       38.03 |          32.94
      100 sentences: |   59.63 |          55.62 |          38.46 |       35.00 |          31.22 |     (34.03) |          36.46
      200 sentences: |   62.87 |          59.22 |          39.39 |       36.83 |          29.08 |     (32.78) |          37.44
      500 sentences: |   59.13 |          54.21 |          39.33 |       34.52 |          33.01 |     (32.72) |        (34.37)
     1000 sentences: |   69.79 |          62.59 |          38.30 |       36.29 |          38.23 |     (30.50) |        (36.22)
     2000 sentences: |   72.24 |          64.15 |          38.15 |       36.50 |        (35.92) |     (30.76) |        (33.77)
     5000 sentences: |   75.37 |          67.12 |          39.35 |       38.84 |        (30.92) |     (30.08) |        (33.87)
   100000 sentences: |   75.90 |          67.92 |          40.12 |     (38.84) |        (30.92) |     (32.03) |        (34.58)
         ~ smf sents |  100000 |            865 |        USELESS |     USELESS |        USELESS |     USELESS |        USELESS
                     |         |                |                |             |                |             |               
   Treebank: bg-ud11 |     smf |    dlx-bg-ud11 |    dlx-hr-ud11 |      dlx-es |    dlx-cs-ud11 |      dlx-hr |         dlx-ca
       10 sentences: |   31.12 |          31.79 |          34.54 |       37.89 |          30.24 |       37.98 |          35.03
       20 sentences: |   33.77 |          36.05 |          39.79 |       47.07 |          41.44 |       39.32 |          39.31
       50 sentences: |   54.62 |          53.80 |          48.24 |       48.76 |          49.47 |       48.36 |          45.35
      100 sentences: |   59.13 |          58.13 |          51.63 |       54.90 |          49.27 |       52.24 |          49.87
      200 sentences: |   68.92 |          66.64 |          54.26 |       56.50 |          52.64 |       53.91 |          48.62
      500 sentences: |   73.97 |          70.74 |          55.78 |       48.59 |          54.08 |       48.23 |          44.38
     1000 sentences: |   67.69 |          64.25 |          56.34 |       57.33 |          44.20 |       47.35 |          45.19
     2000 sentences: |   72.16 |          68.31 |          57.27 |       57.53 |          54.83 |       43.76 |          44.98
     5000 sentences: |   76.12 |          71.32 |          57.92 |       57.54 |          56.37 |       55.25 |               
   100000 sentences: |   76.75 |          72.57 |        (57.92) |     (57.01) |             () |     (55.25) |          55.21
         ~ smf sents |  100000 |            417 |             87 |          82 |             69 |          57 |             57
                     |         |                |                |             |                |             |               
        Treebank: bn |     smf |         dlx-bn |         dlx-te |      dlx-ja |         dlx-tr |      dlx-hi |         dlx-la
       10 sentences: |   32.58 |          32.78 |          27.37 |       11.24 |           8.85 |        9.58 |          18.84
       20 sentences: |   39.55 |          42.77 |          29.35 |       11.87 |          13.84 |        9.47 |          21.34
       50 sentences: |   44.54 |          42.25 |          27.37 |       17.69 |          14.89 |       14.16 |          23.42
      100 sentences: |   52.76 |          44.85 |          32.58 |       16.24 |          12.28 |       23.83 |          26.54
      200 sentences: |   58.69 |          53.49 |          28.83 |       15.72 |          21.96 |       23.63 |          27.37
      500 sentences: |   60.98 |        (50.89) |          36.11 |       22.27 |          28.83 |       23.31 |        (21.13)
     1000 sentences: |   66.29 |        (51.93) |          38.30 |       35.38 |        (24.87) |       25.50 |         (9.37)
     2000 sentences: | (66.29) |        (51.93) |        (34.76) |     (29.35) |        (24.25) |       28.00 |         (5.00)
     5000 sentences: | (66.29) |        (51.93) |        (34.76) |     (29.04) |        (22.27) |     (27.58) |        (10.62)
   100000 sentences: | (66.29) |        (51.93) |        (34.76) |     (25.19) |        (23.52) |     (23.00) |        (10.62)
         ~ smf sents |    1000 |            112 |             18 |          14 |        USELESS |     USELESS |        USELESS
                     |         |                |                |             |                |             |               
        Treebank: ca |     smf |         dlx-ca |         dlx-es | dlx-es-ud11 |    dlx-fr-ud11 | dlx-it-ud11 |         dlx-en
